source_name,author,date,title,description,content,label,tesla_related,title_desc,title_label,title_score,content_label,content_score,description_label,description_score,title_desc_label,title_desc_score
USA Today,"Jessica Guynn, USA TODAY",9/12/2023,Inside 'Elon Musk': Everything you need to know about the Walter Isaacson biography,"From relationships with Amber Heard and Grimes, 'demon mode' and Starlink, 'Elon Musk' offers an intimate look inside the famous billionaire's life.","Walter Isaacsons new biography, Elon Musk, that reveals new details about the private and professional lives of the worlds richest person, hit stores Tuesday.
Isaacson, 71, the bestselling author of [+10862 chars]",neutral,no,"Inside 'Elon Musk': Everything you need to know about the Walter Isaacson biography From relationships with Amber Heard and Grimes, 'demon mode' and Starlink, 'Elon Musk' offers an intimate look inside the famous billionaire's life.",neutral,0.9375524520874023,neutral,0.8233760595321655,neutral,0.8912345767021179,neutral,0.9266683459281921
Business Insider,Sonam Sheth,9/12/2023,"Elon Musk followed his little sister around as a teen because he didn't want to be lonely, reading books when she went to clubs or parties, biography says","Musk's younger sister, Tosca, told him that he had to ""stay ten feet away"" from her when he joined her, according to a new biography.","Tosca and Elon MuskJon Kopaloff/Getty Images // Britta Pedersen-Pool/Getty Images
<ul>
<li>Elon Musk trailed his little sister to clubs and parties when they were teenagers, according to a new book. [+1547 chars]",neutral,no,"Elon Musk followed his little sister around as a teen because he didn't want to be lonely, reading books when she went to clubs or parties, biography says Musk's younger sister, Tosca, told him that he had to ""stay ten feet away"" from her when he joined her, according to a new biography.",neutral,0.897853434085846,neutral,0.9229398965835571,neutral,0.6916905045509338,neutral,0.844500720500946
Fox News,"Brian Flood, Nikolas Lanum",9/12/2023,"Elon Musk biography contains inaccurate tale on Russia-Ukraine war incident, author admits: 'I made a mistake'",Author Walter Isaacson admitted he made a mistake with a story about how he characterized Elon Musk,"Author Walter Isaacson acknowledged a ""mistake"" in his much-anticipated biography on Elon Musk that came out this week that characterized the tech mogul as putting his finger on the scale in favor of [+4272 chars]",neutral,no,"Elon Musk biography contains inaccurate tale on Russia-Ukraine war incident, author admits: 'I made a mistake' Author Walter Isaacson admitted he made a mistake with a story about how he characterized Elon Musk",negative,0.7398579120635986,negative,0.6281923651695251,negative,0.7734371423721313,negative,0.6067655682563782
Business Insider,Insider Inc.,9/13/2023,"Elon Musk, Mark Zuckerberg, Bill Gates and other tech names head to Washington for a closed-door meeting on policing AI","Some of the biggest tech leaders in the world, like Elon Musk and Mark Zuckerberg, gathered in Washington to discuss ways to potentially police AI.","Elon Musk, speaking outside the ""AI Insight Forum"" in Washington on Wednesday. He and other tech leaders were discussing artificial intelligence and possible government regulation.Photo by Nathan How [+3864 chars]",positive,yes,"Elon Musk, Mark Zuckerberg, Bill Gates and other tech names head to Washington for a closed-door meeting on policing AI Some of the biggest tech leaders in the world, like Elon Musk and Mark Zuckerberg, gathered in Washington to discuss ways to potentially police AI.",neutral,0.9270383715629578,neutral,0.9216017723083496,neutral,0.848802387714386,neutral,0.8958818912506104
Politico,Steven Overly,9/13/2023,"Its time to regulate AI like cars and drugs, top Microsoft exec says","Microsoft President Brad Smith will join other tech leaders, including Elon Musk, Mark Zuckerberg and Sam Altman, at an artificial intelligence forum today hosted by Senate Majority Leader Chuck Schumer.","With Congress in a flurry of hearings on AI this week, Smith is among the tech leaders expected at a closed-door session with Senate Majority Leader Chuck Schumer on Wednesday, along with Elon Musk o [+3468 chars]",positive,yes,"Its time to regulate AI like cars and drugs, top Microsoft exec says Microsoft President Brad Smith will join other tech leaders, including Elon Musk, Mark Zuckerberg and Sam Altman, at an artificial intelligence forum today hosted by Senate Majority Leader Chuck Schumer.",neutral,0.9159262180328369,neutral,0.9207975268363953,neutral,0.931958019733429,neutral,0.9205034971237183
Fortune,Paolo Confino,9/13/2023,"During the most concentrated pain in his life, Elon Musk saved Tesla and created 'the algorithm' that would become his manufacturing and management philosophy","Elon Musk developed ""the algorithm"" while trying to save Tesla from financial ruin and facing the darkest moment of his personal life, new biography says.","One of Elon Musks biggest accomplishments happened during what he refers to as the darkest, most difficult time in his life. In July 2017, Tesla had just introduced its Model 3 sedan, a more moderate [+7534 chars]",positive,yes,"During the most concentrated pain in his life, Elon Musk saved Tesla and created 'the algorithm' that would become his manufacturing and management philosophy Elon Musk developed ""the algorithm"" while trying to save Tesla from financial ruin and facing the darkest moment of his personal life, new biography says.",neutral,0.9255152344703674,neutral,0.5778750777244568,neutral,0.914081871509552,neutral,0.9174419045448303
Business Insider,Charles R. Davis,9/13/2023,Elon Musk's control of Starlink gives him unchecked power over elected governments,There is a growing consensus that one unelected man should not decide what is or is not a legitimate military target.,"Chesnot/Getty Images
<ul>
<li>Elon Musk's control over Starlink is in the spotlight after he thwarted a Ukrainian attack.</li>
<li>Musk says he vetoed a 2022 strike on Russia's Black Sea Fleet over  [+7893 chars]",negative,no,Elon Musk's control of Starlink gives him unchecked power over elected governments There is a growing consensus that one unelected man should not decide what is or is not a legitimate military target.,neutral,0.8981497287750244,negative,0.832604706287384,neutral,0.7193348407745361,neutral,0.7972771525382996
Business Insider,Tim Levin,9/13/2023,"Mercedes-Benz's $100,000 electric SUV is an awesome Tesla rival  but its blob-like looks aren't for everyone",The Mercedes EQE SUV is an awesome alternative to Tesla's Model X with controversial style.,"The 2023 Mercedes-Benz EQE SUV brings a luxurious interior and awe-inspiring driving tech. Tim Levin/Insider
<ul><li>I drove Mercedes-Benz's new electric SUV: the EQE SUV. </li><li>It costs $77,900  [+5110 chars]",neutral,yes,"Mercedes-Benz's $100,000 electric SUV is an awesome Tesla rival  but its blob-like looks aren't for everyone The Mercedes EQE SUV is an awesome alternative to Tesla's Model X with controversial style.",neutral,0.8080294132232666,neutral,0.776226818561554,neutral,0.7692376375198364,neutral,0.8533957600593567
Next Big Future,Brian Wang,9/13/2023,Tesla Semi Shows Real World Payload and Range Results at Run on Less Event,The Run on Less  Electric DEPOT is an 18-month study and demonstration event that explores how trucking fleets can scale up from one or two electric trucks to 15 or more. The North American Council for Freight Efficiency (NACFE) and RMI are hosting the event,Brian Wang is a Futurist Thought Leader and a popular Science blogger with 1 million readers per month. His blog Nextbigfuture.com is ranked #1 Science News Blog. It covers many disruptive technology [+593 chars],positive,yes,Tesla Semi Shows Real World Payload and Range Results at Run on Less Event The Run on Less  Electric DEPOT is an 18-month study and demonstration event that explores how trucking fleets can scale up from one or two electric trucks to 15 or more. The North American Council for Freight Efficiency (NACFE) and RMI are hosting the event,neutral,0.861514687538147,neutral,0.9305434226989746,neutral,0.8406731486320496,neutral,0.8345960974693298
Business Insider,Brent D. Griffiths,9/13/2023,Elon Musk told biographer that Trump is 'the world champion of bullshit',"According to Walter Isaacson's biography, Musk approached Trump's election with cautious optimism that later vanished in the face of ""buffoonery.""","Tesla CEO Elon MuskChesnot/Getty Images
<ul>
<li>Elon Musk told his biographer that he's ""not Trump's fan.""</li>
<li>Musk, according to Walter Isaacson's new book, also called the former president "" [+1974 chars]",neutral,no,"Elon Musk told biographer that Trump is 'the world champion of bullshit' According to Walter Isaacson's biography, Musk approached Trump's election with cautious optimism that later vanished in the face of ""buffoonery.""",neutral,0.8376086354255676,neutral,0.7926226854324341,negative,0.6070228815078735,neutral,0.5356520414352417
Breitbart News,"Allum Bokhari, Allum Bokhari",9/13/2023,Elon Musk: Left-Wing ADL Was 'Instrumental' In Blacklisting Donald Trump from Twitter,"Twitter/X owner Elon Musk, embroiled in an ongoing war of words with the far-left Anti-Defamation League (ADL), which has pushed for censorship of conservatives on all platforms, has said the organization was ""instrumental"" in getting Donald Trump blacklisted","Twitter/X owner Elon Musk, embroiled in an ongoing war of words with the far-left Anti-Defamation League (ADL), which has pushed for censorship of conservatives on all platforms, has said the organiz [+3028 chars]",neutral,no,"Elon Musk: Left-Wing ADL Was 'Instrumental' In Blacklisting Donald Trump from Twitter Twitter/X owner Elon Musk, embroiled in an ongoing war of words with the far-left Anti-Defamation League (ADL), which has pushed for censorship of conservatives on all platforms, has said the organization was ""instrumental"" in getting Donald Trump blacklisted",neutral,0.4920758008956909,negative,0.7888144850730896,negative,0.7194849848747253,negative,0.5942316055297852
The Washington Post,Cat Zakrzewski,9/13/2023,"Senate AI hearing draws Google, Meta and other tech executives","Xs Elon Musk, Metas Mark Zuckerberg, Googles Sundar Pichai and OpenAIs Sam Altman were among the tech leaders on Capitol Hill discussing AI regulation.","Comment on this story
Comment
Some of the most powerful tech leaders in the world including Tesla CEO Elon Musk and Meta CEO Mark Zuckerberg traveled to Capitol Hill for a meeting on artificial int [+10166 chars]",positive,yes,"Senate AI hearing draws Google, Meta and other tech executives Xs Elon Musk, Metas Mark Zuckerberg, Googles Sundar Pichai and OpenAIs Sam Altman were among the tech leaders on Capitol Hill discussing AI regulation.",neutral,0.8766645193099976,neutral,0.8783096671104431,neutral,0.932753324508667,neutral,0.9249579906463623
Fortune,Chloe Berger,9/13/2023,"How Musk and Bezos first met, with an insulted Elon inviting himself to tour Blue Origin","The two billionaire CEOs rubbed each other the wrong way upon meeting, according to new biography about Elon Musk.","Billionaire CEOs are like betta fish. Put them in the same tank and they might get territorial (or write passive-aggressive tweets). At least, that seems to be the case for Elon Musk and Jeff Bezos,  [+4327 chars]",neutral,no,"How Musk and Bezos first met, with an insulted Elon inviting himself to tour Blue Origin The two billionaire CEOs rubbed each other the wrong way upon meeting, according to new biography about Elon Musk.",neutral,0.9250672459602356,neutral,0.8817780017852783,negative,0.7338349223136902,neutral,0.4881155788898468
TechCrunch,Jagmeet Singh,9/13/2023,"Tesla plans to almost double component sourcing from India to $1.9B this year, says minister | TechCrunch","Tesla is planning to nearly double its component sourcing from India to up to $1.9 billion this year, the nations trade minister has said, underscoring Tesla is planning to nearly double its component sourcing from India to up to $1.9 billion this year, the ","Tesla is planning to nearly double its component sourcing from India to up to $1.9 billion this year, the nations trade minister has said, underscoring the growth of electric-vehicle component manufa [+2512 chars]",positive,yes,"Tesla plans to almost double component sourcing from India to $1.9B this year, says minister | TechCrunch Tesla is planning to nearly double its component sourcing from India to up to $1.9 billion this year, the nations trade minister has said, underscoring Tesla is planning to nearly double its component sourcing from India to up to $1.9 billion this year, the ",positive,0.9357887506484985,positive,0.9397303462028503,positive,0.9387137293815613,positive,0.9412064552307129
The Times of India,Bloomberg,9/13/2023,Tesla got an $80 billion boost from analyst call. Not everyone buys it,"Meanwhile, Tesla is still working on developing a software that will make its cars truly self-driving, though experts and analysts see a broad adoption of fully autonomous cars as still years, if not decades, away. Jonas had lowered his estimate for Tesla Mob","This may sound familiar: Morgan Stanley analyst Adam Jonas makes an extraordinarily bullish call on the future of Tesla Inc. and the shares go on a wild binge.It happened in 2015, and its happening a [+3906 chars]",negative,yes,"Tesla got an $80 billion boost from analyst call. Not everyone buys it Meanwhile, Tesla is still working on developing a software that will make its cars truly self-driving, though experts and analysts see a broad adoption of fully autonomous cars as still years, if not decades, away. Jonas had lowered his estimate for Tesla Mob",positive,0.5084405541419983,neutral,0.9063419699668884,negative,0.8041600584983826,negative,0.6313748359680176
Business Insider,Phil Rosen,9/13/2023,Tesla is the most shorted stock in the market - and investors have bet against it more than any other name for 3 straight months,"Elon Musk's EV maker topped the list of most shorted US large-cap stocks for a third consecutive month in August, a new report showed.","Tesla CEO Elon Musk.Yichuan Cao/NurPhoto via Getty Images
<ul>
<li>Tesla was the most shorted US large-cap stock for the third consecutive month in August, securities firm Hazeltree said.</li>
<li>C [+1781 chars]",positive,yes,"Tesla is the most shorted stock in the market - and investors have bet against it more than any other name for 3 straight months Elon Musk's EV maker topped the list of most shorted US large-cap stocks for a third consecutive month in August, a new report showed.",neutral,0.750264585018158,negative,0.898479700088501,positive,0.918393611907959,positive,0.8583033680915833
Fortune,"Anna Edgerton, Bloomberg",9/13/2023,Elon Musk tells senators AI is a double-edged sword that can do goodbut also destroy civilization,"Musk, the CEO Tesla, told senators they shouldnt be worried about self-driving cars, but instead should focus their concerns on what he called deeper AI.","Elon Musk called artificial intelligence a double-edged sword, telling US senators Wednesday that the technology can be a tremendous source for good but warning about risks to civilization, according [+1029 chars]",positive,yes,"Elon Musk tells senators AI is a double-edged sword that can do goodbut also destroy civilization Musk, the CEO Tesla, told senators they shouldnt be worried about self-driving cars, but instead should focus their concerns on what he called deeper AI.",neutral,0.9171122908592224,neutral,0.7752249240875244,neutral,0.7644244432449341,neutral,0.881232738494873
Fortune,Grace Lordan,9/13/2023,Why critics love to hate Elon Muskand why his fans adore him,LSE's Grace Lordan explains how the psychology behind love and hate makes Musk elicit such emotional responses.,"There isnt a week that goes by that coverage of Elon Musk isnt dominating news headlines. Strikingly, a lot of the coverage concerns his own posts on X, where it has been estimated that he has the ab [+7688 chars]",neutral,no,Why critics love to hate Elon Muskand why his fans adore him LSE's Grace Lordan explains how the psychology behind love and hate makes Musk elicit such emotional responses.,neutral,0.8972083926200867,neutral,0.9382836818695068,neutral,0.9286778569221497,neutral,0.9069448113441467
Business Insider,Lakshmi Varanasi,9/13/2023,Elon Musk's ex-wife told his biographer that deep inside the Tesla CEO 'is this manchild still standing in front of his father',"On an episode of Lex Fridman's podcast, Elon Musk's biographer talked about Musk's relationship to his father and its impact on Musk's personality.","Elon Musk's ex-wife, actress Talulah Riley, said that deep inside, Elon Musk is a ""manchild"" still standing in front of his father, according to Musk's biographer Walter Isaacson.Evan Agostini/AP Ima [+3317 chars]",neutral,no,"Elon Musk's ex-wife told his biographer that deep inside the Tesla CEO 'is this manchild still standing in front of his father' On an episode of Lex Fridman's podcast, Elon Musk's biographer talked about Musk's relationship to his father and its impact on Musk's personality.",neutral,0.8957650661468506,neutral,0.9087216854095459,neutral,0.8621302247047424,neutral,0.8881165385246277
BBC News,https://www.facebook.com/bbcnews,9/13/2023,'Overwhelming consensus' on AI regulation - Musk,Tech heavyweights gathered in Washington DC to discuss the regulation of artificial intelligence.,"Media caption, Watch: 'Overwhelming consensus' to regulate AI, says Elon Musk
Tesla CEO Elon Musk says there was ""overwhelming consensus"" for regulation on artificial intelligence after tech heavywe [+2487 chars]",positive,yes,'Overwhelming consensus' on AI regulation - Musk Tech heavyweights gathered in Washington DC to discuss the regulation of artificial intelligence.,positive,0.7996740341186523,positive,0.6532503962516785,neutral,0.8691723942756653,positive,0.5912630558013916
Business Insider,"Polly Thompson,Grace Dean",9/13/2023,"Elon Musk once caught malaria on safari and was 'hours from death,' book says",Walter Isaacson's new biography of Elon Musk gives more insight into why the Tesla and SpaceX billionaire seems to dislike taking time off.,"Elon Musk did take some time off in July 2022 when he visited the Greek island of Mykonos.MEGA/GC/Getty Images
<ul><li>Walter Isaacson's biography of Elon Musk shines new light on the world's riches [+4228 chars]",neutral,no,"Elon Musk once caught malaria on safari and was 'hours from death,' book says Walter Isaacson's new biography of Elon Musk gives more insight into why the Tesla and SpaceX billionaire seems to dislike taking time off.",neutral,0.7820215821266174,positive,0.6003733277320862,neutral,0.9164615273475647,neutral,0.9241868853569031
Business Insider,Grace Kay,9/13/2023,"Elon Musk wanted to build a house that looked like it 'fell out of space,' new book reveals","Elon Musk has said he owns a prefabricated home, but his biographer said he has discussed plans to build a new mega house on a horse farm in Texas.","Elon Musk pictured with a prefabricated house that was delivered to SpaceX in 2021. He has said he is living in a $50,000 house he rents from the space venture.Jorge Ramirez and Chesnot/Getty Images [+5412 chars]",neutral,no,"Elon Musk wanted to build a house that looked like it 'fell out of space,' new book reveals Elon Musk has said he owns a prefabricated home, but his biographer said he has discussed plans to build a new mega house on a horse farm in Texas.",neutral,0.9208585619926453,neutral,0.9422609210014343,neutral,0.9400364756584167,neutral,0.9370527863502502
NBC News,"Lee Ying Shan, CNBC",9/14/2023,"Taiwan slams Elon Musk, says its not for sale nor part of China","Taiwan is not for sale, and neither is it part of China, said Taiwans Ministry of Foreign Affairs, in a rebuke to Elon Musk who called the island an integral part of China.","Taiwan is not for sale, and neither is it part of China, said Taiwans Ministry of Foreign Affairs, in a rebuke to Elon Musk who called the island an integral part of China.
Listen up, Taiwan is not  [+2095 chars]",negative,no,"Taiwan slams Elon Musk, says its not for sale nor part of China Taiwan is not for sale, and neither is it part of China, said Taiwans Ministry of Foreign Affairs, in a rebuke to Elon Musk who called the island an integral part of China.",neutral,0.9400306344032288,neutral,0.65070641040802,negative,0.7494702935218811,negative,0.6482585072517395
CNN,"Akanksha Sharma, Michelle Toh",9/14/2023,Taiwan hits back at Elon Musk's claim that it is 'part of China',"Taiwan's Ministry of Foreign Affairs has hit back after Elon Musk called the self-ruled island an ""integral part of China.""","Taiwans Ministry of Foreign Affairs has hit back after Elon Musk called the self-ruled island an integral part of China.
Speaking remotely at the All-in Summit, which took place in Los Angeles this  [+2691 chars]",negative,no,"Taiwan hits back at Elon Musk's claim that it is 'part of China' Taiwan's Ministry of Foreign Affairs has hit back after Elon Musk called the self-ruled island an ""integral part of China.""",negative,0.886695146560669,negative,0.8130536079406738,negative,0.9150551557540894,negative,0.8892824053764343
Breitbart News,"Allum Bokhari, Allum Bokhari",9/14/2023,Elon Musk Warns AI Poses 'Civilizational Risk' to Humanity,"Elon Musk, one of several tech tycoons who met lawmakers in Washington D.C. this week to discuss the burgeoning technology of AI, warned that intelligent machines have the potential to threaten all of human civilization.","Elon Musk, one of several tech tycoons who met lawmakers in Washington D.C. this week to discuss the burgeoning technology of AI, warned that intelligent machines have the potential to threaten all o [+1863 chars]",positive,yes,"Elon Musk Warns AI Poses 'Civilizational Risk' to Humanity Elon Musk, one of several tech tycoons who met lawmakers in Washington D.C. this week to discuss the burgeoning technology of AI, warned that intelligent machines have the potential to threaten all of human civilization.",negative,0.5108845829963684,negative,0.874676525592804,negative,0.4944949150085449,neutral,0.6492760181427002
Business Insider,gdean@insider.com (Grace Dean),9/14/2023,"Elon Musk said that he had to take 'random drug tests for a couple of years' after smoking weed on the Joe Rogan podcast: 'Fortunately, I really don't like doing illegal drugs'","Elon Musk, who is known for cracking 420 jokes and has reportedly taken ketamine, told his biographer he ""really"" doesn't like taking illegal drugs.","Elon Musk, who is known for cracking 420 jokes and has reportedly taken ketamine, told his biographer that he ""really"" doesn't like taking illegal drugs.
The Wall Street Journal
 reported in June t [+3312 chars]",neutral,no,"Elon Musk said that he had to take 'random drug tests for a couple of years' after smoking weed on the Joe Rogan podcast: 'Fortunately, I really don't like doing illegal drugs' Elon Musk, who is known for cracking 420 jokes and has reportedly taken ketamine, told his biographer he ""really"" doesn't like taking illegal drugs.",neutral,0.7095456719398499,neutral,0.7065456509590149,neutral,0.7072108387947083,neutral,0.720156192779541
The Verge,Umar Shakir,9/14/2023,Teslas new car-building process could be a huge industrial breakthrough,"Tesla is reportedly close to building a new gigacasting die-cast process to build its possibly Cybertruck-like $25,000 car using techniques new to the automaking industry.","Teslas new car-building process could be a huge industrial breakthrough
Teslas new car-building process could be a huge industrial breakthrough
 / Tesla is close to implementing a new die-cast proc [+4204 chars]",positive,yes,"Teslas new car-building process could be a huge industrial breakthrough Tesla is reportedly close to building a new gigacasting die-cast process to build its possibly Cybertruck-like $25,000 car using techniques new to the automaking industry.",neutral,0.7919313311576843,positive,0.507914125919342,neutral,0.7172825336456299,neutral,0.523846447467804
Engadget,Steve Dent,9/14/2023,Tesla gets $160 million in EU funding to expand its Supercharger network in 22 countries,"The European Union (EU) is providing 352 million ($378 million) in funding to support green transport infrastructure, and Tesla will get a large chunk of that money. The company's Polish and Italian divisions will receive a total of 148.72 million ($159.64 ","The European Union (EU) is providing 352 million ($378 million) in funding to support green transport infrastructure, and Tesla will get a large chunk of that money. The company's Polish and Italian  [+2386 chars]",positive,yes,"Tesla gets $160 million in EU funding to expand its Supercharger network in 22 countries The European Union (EU) is providing 352 million ($378 million) in funding to support green transport infrastructure, and Tesla will get a large chunk of that money. The company's Polish and Italian divisions will receive a total of 148.72 million ($159.64 ",positive,0.9373033046722412,positive,0.7157783508300781,positive,0.7483839988708496,positive,0.8160803318023682
The Times of India,Pankaj Doval,9/14/2023,"Tesla may source $1.9bn parts this year, nearly 2x of 2022: Goyal","Even before it forays into India with its electric cars, American electric vehicle giant Tesla has begun heavy component sourcing from the country. It is expected to ship parts worth $1.7-1.9 billion this year from India. Commerce and industry minister Piyush","FD Calculator
When investing in a fixed deposit, the amount you deposit earns interest as per the prevailing...
Calculate Now",positive,yes,"Tesla may source $1.9bn parts this year, nearly 2x of 2022: Goyal Even before it forays into India with its electric cars, American electric vehicle giant Tesla has begun heavy component sourcing from the country. It is expected to ship parts worth $1.7-1.9 billion this year from India. Commerce and industry minister Piyush",neutral,0.6978868246078491,neutral,0.9440651535987854,neutral,0.6086224317550659,positive,0.517439067363739
