source_name,author,date,title,description,content
ABC News,The Associated Press,2023-09-18,Turkey's President Erdogan and Elon Musk discuss establishing a Tesla car factory in Turkey,"Turkish President Recep Tayyip Erdogan has called on Elon Musk, the head of electric carmaker Tesla, to establish a factory in Turkey","ISTANBUL -- Turkish President Recep Tayyip Erdogan called on Elon Musk, the head of electric carmaker Tesla, to establish a factory in Turkey during a meeting in New York, Erdogans office said Monday… [+792 chars]"
ABC News,The Associated Press,2023-10-02,Elon Musk facing defamation lawsuit in Texas over posts that falsely identified man in protest,A California man who says he was harassed after Elon Musk amplified social media posts that made false claims about him is suing the billionaire,"AUSTIN, Texas -- A California man who says he was harassed after Elon Musk amplified posts on his social media platform X, formerly known as Twitter, that falsely placed the man at a confrontation in… [+1814 chars]"
Fox News,Sarah Rumpf-Whitten,2023-09-27,Elon Musk says he supports a border wall and that migrants must have a 'shred of evidence' to receive asylum,"Elon Musk wrote on X Wednesday, saying that he supports a border wall along the southern border as droves of migrants enter the U.S. illegally.","Tech billionaire Elon Musk said Wednesday that he supports a border wall, saying migrants need to produce a ""shred of evidence"" to receive asylum in the United States.
""We actually do need a wall, a… [+2717 chars]"
ABC News,The Associated Press,2023-09-18,Turkey's President Erdogan and Elon Musk discuss establishing a Tesla car factory in Turkey,"Turkish President Recep Tayyip Erdogan has called on Elon Musk, the head of electric carmaker Tesla, to establish a factory in Turkey","ISTANBUL -- Turkish President Recep Tayyip Erdogan called on Elon Musk, the head of electric carmaker Tesla, to establish a factory in Turkey during a meeting in New York, Erdogans office said Monday… [+792 chars]"
Fox News,Jeffrey Clark,2023-09-25,San Francisco left-wing official lashes out at Elon Musk after billionaire calls for his firing,"A San Francisco County Supervisor fired back at Elon Musk after the billionaire claimed Dean Preston was likely responsible for the ""destruction"" of the city.","Self-identified democratic socialist and San Francisco District 5 County Supervisor Dean Preston fired back at Tesla CEO Elon Musk after the billionaire claimed that Preston was probably the person ""… [+2492 chars]"
Business Insider,ktan@insider.com (Kwan Wei Kevin Tan),2023-09-29,"A cowboy-hat-donning, aviator-shades-wearing Elon Musk hiked down south to Texas to try to make a point about migration","Musk's also claimed on X on Wednesday that the US needs a border wall to keep migrants who don't have ""some shred of evidence to claim asylum"" out.","Elon Musk on Thursday put on a cowboy hat and headed to Texas in what appeared to be an attempt to make a point about migration across the Southern border.
""Elon here. I'm at Eagle Pass. Just arrive… [+3070 chars]"
The Times of India,ET Online,2023-09-14,'Not for sale': Taiwan Foreign Min Joseph Wu rejects Elon Musk's assertion of Chinese sovereignty,"Elon Musk has caused controversy by referring to Taiwan as an ""integral part of China"" during a summit in Los Angeles. Taiwan's Foreign Minister, Joseph Wu, responded firmly, stating that Taiwan is ""not for sale."" The status of Taiwan has long been disputed, …","Elon Musk, the owner of various tech enterprises, including Tesla and X (formerly Twitter), has caused a stir by referring to Taiwan as an ""integral part of China."" The remarks were made during the A… [+2078 chars]"
Fox News,Gabriel Hays,2023-09-28,AOC blistered after response to Elon Musk saying she's 'just not that smart',"Rep. Alexandria Ocasio-Cortez, D-N.Y., had a sharp rebuke for X owner Elon Musk after he insulted her intelligence on his platform on Wednesday.","Rep. Alexandria Ocasio-Cortez, D-N.Y., slammed billionaire Elon Musk on social media after he insulted her intelligence Wednesday.
In response to the billionaire and Tesla CEO that the congresswoman… [+2501 chars]"
Next Big Future,Brian Wang,2023-09-20,Tesla Semi Haters Were Wrong. Heavy Loads With Pepsi and Not Chips,"The Run on Less Event has proven that those who doubted the Tesla Semi truck doubters were wrong. They said that the Tesla Semi could not carry 44,000 lbs of payload. This is despite eleven 4000 lbs ten foot cement jersey barriers being carried on the demo ru…","The Run on Less Event has proven that those who doubted the Tesla Semi truck doubters were wrong. 
They said that the Tesla Semi could not carry 44,000 lbs of payload. This is despite eleven 4000 lb… [+2948 chars]"
The Jerusalem Post,By IMRAN AHMED,2023-09-19,"Elon Musk's embrace of antisemitism, hate speech is a danger to Jews - opinion","Elon Musk's actions since taking the helm of X have additionally made it easier for extremists and neo-Nazis to publish and spread the anti-Jewish hatred, lies, and conspiracy theories.",New research published last week by the Center for Countering Digital Hate (CCDH) shows that X (formerly Twitter) continues to host nearly 86% of the 300 posts we reported for hate speech which inclu… [+5150 chars]
Business Insider,Hannah Getahun,2023-09-23,Elon Musk's grandfather belonged to a political party that believed the world should be governed by technology. Newspapers at the time described it as having 'the tone of an incipient Fascist movement.',"Elon Musk's grandfather Joshua Haldeman was a raging racist and anti-semite, per the Atlantic. He also strongly believed in technocracy at one point in his life.","Elon Musk.Britta Pedersen-Pool/Getty Images
<ul><li>Elon Musk's grandfather, Joshua Haldeman, was a ""radical conspiracy theorist,"" the Atlantic reports.</li><li>Haldeman was convicted in Canada for … [+4875 chars]"
Business Insider,Lakshmi Varanasi,2023-09-13,Elon Musk's ex-wife told his biographer that deep inside the Tesla CEO 'is this manchild still standing in front of his father',"On an episode of Lex Fridman's podcast, Elon Musk's biographer talked about Musk's relationship to his father and its impact on Musk's personality.","Elon Musk's ex-wife, actress Talulah Riley, said that deep inside, Elon Musk is a ""manchild"" still standing in front of his father, according to Musk's biographer Walter Isaacson.Evan Agostini/AP Ima… [+3317 chars]"
Business Insider,Alexa St. John,2023-10-11,Rivian CEO says he wouldn't buy the Cybertruck — but has owned multiple Teslas and thinks Elon Musk is the 'dominant player' in his company's next act,"Rivian CEO RJ Scaringe spoke with GQ magazine about Tesla, the UAW, and more.","Carlos Delgado/Associated Press
<ul><li>Rivian CEO RJ Scaringe spoke with GQ magazine about Tesla, the UAW, and more.</li><li>Scaringe talked about the next phase of Rivian and his competition.</li>… [+3248 chars]"
Fox News,Elizabeth Heckman,2023-09-29,"AOC takes aim at Elon Musk, GOP lawmaker for 'joyride' at southern border",'FOX & Friends' co-hosts react to Elon Musk's trip to the southern border and the criticism received by far-left Rep. Alexandria-Ocasio Cortez for making the trip.,"Rep. Alexandria Ocasio-Cortez, D-N.Y., went after Republican House colleague Tony Gonzales after he visited the southern border with billionaire entrepreneur Elon Musk. 
""Whats funny about this phot… [+3745 chars]"
Newsweek,Jake Lingeman,2023-09-28,"Tesla Will Be an Auto All-star in 2050, GM Designer Predicts",Designer Ed Welburn and concours judge Nigel Matthews debate about what cars from today will still be beautiful in 30 years.,"Vehicles at concours d'elegance are judged on style, condition, presentation, backstory and how closely they are prepared to the original specification. Many winning names at shows like Pebble Beach … [+8087 chars]"
Next Big Future,Brian Wang,2023-09-24,New Teslabot Capabilities. All Neural Net Training and Great Balance. Mass Production Near,"Tesla has released new video of the Optimus Teslabot. They are showing vastly improved balance and hand control. The critical thing is like the FSD (full self driving ) for cars, all of the training is all neural nets and video in and capabilities out. Tesla …",Brian Wang is a Futurist Thought Leader and a popular Science blogger with 1 million readers per month. His blog Nextbigfuture.com is ranked #1 Science News Blog. It covers many disruptive technology… [+593 chars]
Engadget,Will Shanklin,2023-10-06,Tesla cuts prices on Model 3 and Y after dwindling deliveries,"Tesla is cutting prices on some Model 3 and Model Y vehicles in the US, as spotted by CNBC. The automaker’s move, its second price drop in just over a month, comes after it fell short of market estimates for deliveries.
Tesla’s website now lists the Model 3 s…","Tesla is cutting prices on some Model 3 and Model Y vehicles in the US, as spotted byCNBC. The automakers move, its second price drop in just over a month, comes after it fell short of market estimat… [+1415 chars]"
ABC News,The Associated Press,2023-10-02,Elon Musk facing defamation lawsuit in Texas over posts that falsely identified man in protest,A California man who says he was harassed after Elon Musk amplified social media posts that made false claims about him is suing the billionaire,"AUSTIN, Texas -- A California man who says he was harassed after Elon Musk amplified posts on his social media platform X, formerly known as Twitter, that falsely placed the man at a confrontation in… [+1814 chars]"
Fortune,Christiaan Hetzner,2023-09-18,Tim Cook admits ‘we constantly ask ourselves’ whether Apple should pull ads from Twitter,"The Apple CEO, awarded by the ADL for combatting bigotry, already pulled its spending from Elon Musk's social media platform once.","Elon Musks controversial management of Twitter, now rebranded X under the tycoon, already led Apple to cut its advertising spending once. It may not be the last time either after Musks recent attack … [+2919 chars]"
Fortune,Eleanor Pringle,2023-09-28,Mark Cuban believes Elon Musk is his own worst enemy with X,"X owner Elon Musk could prove to be his own worst enemy, said Shark Tank star Mark Cuban, despite making some ""genius"" moves.","In the elite circle of global billionaires, Elon Musks search for allies may prove challenging, but one notable figure who stands by his side more often than not is Shark Tank star, Mark Cuban.In the… [+3283 chars]"
Breitbart News,"Lucas Nolan, Lucas Nolan",2023-09-20,Feds Expand Investigation into Elon Musk and Tesla over Undisclosed Perks Such as a Glass Mansion,"Federal prosecutors are reportedly widening their investigation into Tesla and its CEO, Elon Musk, probing into undisclosed personal benefits and a mysterious project known as ""Project 42"" that allegedly was planned to build Musk a mansion made of glass.","Federal prosecutors are reportedly widening their investigation into Tesla and its CEO, Elon Musk, probing into undisclosed personal benefits and a mysterious project known as “Project 42” that alleg… [+2179 chars]"
The Times of India,IANS,2023-09-29,Tesla sued for racial bigotry against black workers in US,"""Every employee deserves to have their civil rights respected, and no worker should endure the kind of shameful racial bigotry our investigation revealed,"" said EEOC Chair Charlotte A. Burrows. The lawsuit makes clear that no company is above the law, and the…",Tesla has been sued by the US Equal Employment Opportunity Commission (EEOC) for allegedly violating federal law by tolerating widespread and ongoing racial harassment of its Black employees and by s… [+1807 chars]
Business Insider,Grace Kay,2023-10-02,Elon Musk's dad said he turned down a free Tesla from his son,"""I prefer to drive a Rolls-Royce,"" Errol Musk said, adding he felt shipping the Tesla was too expensive.","Errol Musk (left) said Elon Musk (right) offered to ship a Tesla to South Africa for him.GIANLUIGI GUERCIA/AFP via Getty Images and Chesnot/Getty Images
<ul><li>Errol Musk, Elon Musk's dad, said he … [+3699 chars]"
Business Insider,Beatrice Nolan,2023-09-19,'He simply wants to kill the platform': Some X users are threatening to quit the app after Elon Musk suggested he might move it behind a paywall,"Elon Musk has suggested yet another shakeup for X, formerly known as Twitter: a new paywall","Elon Musk.Joel Saget/AFP via Getty Images
<ul><li>Elon Musk says he's considering moving X behind a paywall.</li><li>The billionaire commented during a livestreamed conversation with Israel's prime … [+2285 chars]"
Business Insider,Tim Levin,2023-09-13,"Mercedes-Benz's $100,000 electric SUV is an awesome Tesla rival — but its blob-like looks aren't for everyone",The Mercedes EQE SUV is an awesome alternative to Tesla's Model X with controversial style.,"The 2023 Mercedes-Benz EQE SUV brings a luxurious interior and awe-inspiring driving tech. Tim Levin/Insider
<ul><li>I drove Mercedes-Benz's new electric SUV: the EQE SUV. </li><li>It costs $77,900 … [+5110 chars]"
TechRadar,Leon Poultney,2023-10-09,Kia and Hyundai announce Tesla EV Supercharger compatibility for next year,"The adoption of North American Charging Standard opens up 12,000 new charging stations for Kia and Hyundai owners","Kia and Hyundai have joined the growing list of auto manufacturers switching to Tesla's North American Charging Standard (NACS) port.
The South Korean brands have announced that all new EVs produced… [+2030 chars]"
Business Insider,Theron Mohamed,2023-10-02,"Elon Musk slams one wealth measure as flawed, as he owns stock in his companies not a 'giant pile of cash'","Elon Musk says it's ""silly"" to look at his wealth gain per minute, as he owns stakes in companies like Twitter and SpaceX, he doesn't rake in cash.","Elon Musk.Theo Wargo/WireImage
<ul>
<li>Elon Musk slammed a measure of his fortune's growth as ""silly"" in a recent X post.</li>
<li>The Tesla and SpaceX CEO dismissed calculations of his wealth gain… [+2543 chars]"
Financial Post,Financial Post Staff,2023-09-19,Live news: Unifor extends auto strike deadline after 'substantive offer' from Ford,"The Financial Post brings you the top business stories as they happen for September 19, 2023. Read on for breaking news you need to know.","Article content
Elon Musk in Washington, D.C., on Sept. 13.Photo by Chip Somodevilla/Getty Images
Elon Musk said that a small monthly service fee for using X could help fight off bot operations on … [+4172 chars]"
BBC News,https://www.facebook.com/bbcnews,2023-10-05,Regulator sues Musk to force testimony in X probe,"Musk accused the Securities and Exchange Commission of ""harassment"" in the two sides' latest battle.","Financial regulators in the US are suing Elon Musk after the billionaire said he would no longer cooperate with its investigation into his purchase of Twitter, now known as X.
The Securities and Exc… [+2233 chars]"
Engadget,Karissa Bell,2023-09-22,What the Elon Musk biography revealed about his tumultuous Twitter takeover,"From alarming questions about Elon Musk’s role in Ukraine’s war effort
, to new details about his complicated personal life, there has been no shortage of bombshells from Walter Isaacson’s recently released biography of Elon Musk.
The book covers his childho…","From alarming questions about Elon Musks role in Ukraines war effort, to new details about his complicated personal life, there has been no shortage of bombshells from Walter Isaacsons recently relea… [+7323 chars]"
Business Insider,Haley Tenore,2023-09-20,Elon Musk crashed Grimes' voice-recording session for 'Cyberpunk 2077' with a 200-year-old musket and 'insisted' on a cameo,"Elon Musk visited Grimes while she was recording lines for ""Cyberpunk 2077"" and brought a 200-year old gun. Musk apparently ""insisted"" on a cameo.","Walter Isaacson's new biography on Elon Musk reveals a time when he entered Grimes's recording session for Cyberpunk 2077 with a gun because he wanted a cameo in the game.Theo Wargo/Getty Images
<ul… [+3205 chars]"
Business Insider,Kali Hays,2023-10-05,The SEC is investigating Elon Musk's purchase of Twitter and attempting to force him to sit for questioning,The Tesla billionaire made a chaotic acquisition of Twitter last year.,"Elon Musk.Chesnot via Getty Images
<ul><li>The SEC is investigating Elon Musk's initial investment in Twitter and his eventual takeover.</li><li>The government agency says Musk has failed to sit for… [+2761 chars]"
BBC News,https://www.facebook.com/bbcnews,2023-09-19,Elon Musk: Social media platform X could go behind paywall,"The billionaire suggested the social media platform, now called X, could charge for use of ""the system"".","Elon Musk has suggested that all users of X, formerly called Twitter, may have to pay for access to the platform.
In a conversation with Israeli Prime Minister Benjamin Netanyahu, the billionaire sa… [+2738 chars]"
Business Insider,"Grace Dean,Grace Kay",2023-09-17,8 major takeaways from the explosive new book about Elon Musk that lifts the lid on the world's richest person,"The book had some eye-popping details — from details on Elon Musk's relationship with his father to his ""hard core"" work ethic and ""demon mode.""","Elon Musk (left) allowed Walter Isaacson (right) to shadow him for three years for the biography.Michael Kovac/Getty Images for Vanity Fair
<ul>
<li>Walter Isaacson's biography on Elon Musk hit shel… [+13843 chars]"
Engadget,Mariella Moon,2023-10-03,"Tesla now offers a $43,990 rear-wheel drive Model Y in the US","Tesla has quietly updated its Model Y page to add a new option for buyers in the US: A rear-wheel drive Model Y that's cheaper than the other variants. It'll set buyers back $43,990, but with a full tax credit of $7,500, the electric vehicle could cost them a…","Tesla has quietly updated its Model Y page to add a new option for buyers in the US: A rear-wheel drive Model Y that's cheaper than the other variants. It'll set buyers back $43,990, but with a full … [+1376 chars]"
TechCrunch,Aria Alamalhodaei,2023-09-20,"J.B. Straubel talks Tesla, Redwood Materials and keeping a startup mentality at any scale | TechCrunch","J.B. Straubel has worn many hats in his career: co-founder of Tesla, Tesla Board Member, and more recently, founder and CEO of battery materials and","J.B. Straubel has worn many hats in his career: co-founder of Tesla, Tesla Board Member, and more recently, founder and CEO of battery materials and recycling startup Redwood Materials.
But in his h… [+3554 chars]"
Fortune,Christiaan Hetzner,2023-09-27,"Elon Musk warns UAW demands will put Detroit's Big Three on the ""fast lane"" to bankruptcy",The tycoon is an avowed opponent of the United Auto Workers union and may fear labor leader Shawn Fain will take the fight to Tesla next.,Tesla CEO Elon Musk warned Detroits Big Three that giving into the United Auto Workers demands could put them in the fast lane to corporate failure. Should UAW boss Shawn Fain prevail with his wishli… [+3156 chars]
Business Insider,Tim Levin,2023-10-03,Jay Leno towed 30 tons with a Tesla Semi and said it felt like nothing,"Jay Leno got to drive Tesla's electric truck, the Semi, and said it felt familiar, smooth, and quick.","Jay Leno tows a Tesla Semi using another Tesla Semi in a recent YouTube video. Jay Leno's Garage
<ul><li>Jay Leno got to drive the Tesla Semi, Elon Musk's electric big rig. </li><li>He said it felt … [+2410 chars]"
Newsweek,Tom Norton,2023-09-12,Did Elon Musk Turn Off Starlink for Ukraine? What We Know,Excerpt from new Elon Musk biography had said the billionaire effectively thwarted a Ukrainian sub attack,"Elon Musk's involvement in the war in Ukraine was spotlighted in a new biography released on Tuesday, which claimed the world's richest man directly intervened in an attempted attack on Russian warsh… [+4218 chars]"
TechRadar,Leon Poultney,2023-10-09,Tesla software update can help its car cameras see lot better,Tesla software update 2023.32 brings with it greater live video feed clarity.,"Reversing into a trashcan, squashing your neighbours cat, destroying a garden gnome - all things that are perfectly possible if the live feed from your reversing and side-view cameras is a bit grainy… [+1884 chars]"
Fortune,Steve Mollman,2023-10-07,Elon Musk says ‘sorry to see what’s happening in Israel’ after surprise attacks by Hamas,"Musk posted on X after the attacks on Israel by Hamas on Saturday, ""I hope there can be peace one day.""","Elon Musk responded early Saturday to the attacks on Israel conducted by the Palestinian militant group Hamas, which could lead to widespread repercussions in the Middle East and beyond.Sorry to see … [+2598 chars]"
Reuters,Paul Lienert,2023-09-27,Analysis: Tesla's rivals scrap for thin slices of US EV sales,"Ford Motor's <a href=""https://www.reuters.com/markets/companies/F.N"" target=""_blank"">(F.N)</a> decision to hit the brakes on a planned $3.5 billion battery plant in Michigan highlights a challenge for Tesla's growing crowd of rivals in the U.S. market: Tesla …",Sept 27 (Reuters) - Ford Motor's (F.N) decision to hit the brakes on a planned $3.5 billion battery plant in Michigan highlights a challenge for Tesla's growing crowd of rivals in the U.S. market: Te… [+3732 chars]
Breitbart News,"Allum Bokhari, Allum Bokhari",2023-09-13,Elon Musk: Left-Wing ADL Was 'Instrumental' In Blacklisting Donald Trump from Twitter,"Twitter/X owner Elon Musk, embroiled in an ongoing war of words with the far-left Anti-Defamation League (ADL), which has pushed for censorship of conservatives on all platforms, has said the organization was ""instrumental"" in getting Donald Trump blacklisted…","Twitter/X owner Elon Musk, embroiled in an ongoing war of words with the far-left Anti-Defamation League (ADL), which has pushed for censorship of conservatives on all platforms, has said the organiz… [+3028 chars]"
Business Insider,Sawdah Bhaimiya,2023-09-27,"X owner Elon Musk largely runs the social media giant from his iPhone, employees say","X employees have learnt not to send Elon Musk attachments or documents or spreadsheets in an email, per a Financial Times report.","Elon Musk likes to be sent information in emails without attachments or spreadsheets in them.Stefani Reynolds/AFP/Getty Images
<ul><li>Elon Musk leads the social media giant X from his iPhone, emplo… [+2411 chars]"
The Times of India,Reuters,2023-09-24,"Thailand expects Tesla, Google, Microsoft to invest $5 billion: PM Srettha Thavisin","Srettha was speaking to reporters in Bangkok after attending the U.N. General Assembly in New York where he also held talks with company executives earlier this week. Fresh foreign investment would boost Thailand's flagging economy, which is expected to grow …","Thailand's Prime Minister Srettha Thavisin said on Sunday the country expected to receive investment of at least $5 billion from Tesla, Google and Microsoft.""Tesla would be looking into an EV manufac… [+974 chars]"
ABC News (AU),Jasmine Hines,2023-09-26,Tesla battery on fire at major Queensland renewable energy storage site,"Firefighting crews worked through the night to contain the battery blaze, with Tesla to investigate the cause of the fire.","A Tesla battery continues to burn at one of Queenslands first large-scale battery storage sites after it caught fire last night.
Police were called to the incident in Childs Avenue in Bouldercombe, … [+1060 chars]"
TechCrunch,Rebecca Bellan,2023-10-05,"All eyes on VW after Hyundai, Kia adopt Tesla charging standard",Hyundai and Kia have finally announced their plans to adopt Tesla's North American Charging Standard (NACS) ports for their electric vehicles in the U.S. and...,"Hyundai and Kia have finally announced their plans to adopt Tesla's North American Charging Standard (NACS) ports for their electric vehicles in the U.S. and Canada, joining the swells of automakers … [+2907 chars]"
Business Insider,George Glover,2023-09-14,Billionaire investor Ron Baron says Elon Musk's Tesla could hit a $4 trillion valuation - and reveals a $1 billion SpaceX stake,"Tesla's market cap could grow between four- and fivefold by the end of the decade, the billionaire investor said Tuesday.","Ron Baron and Elon Musk.Associated Press via Business Wire
<ul>
<li>Tesla's valuation could grow between four- and fivefold between now and 2030, according to Ron Baron.</li>
<li>""In the funds that … [+2210 chars]"
Breitbart News,"Lucas Nolan, Lucas Nolan",2023-09-14,"Elon Musk Admits X/Twitter Has to 'Play Nice' with China to Avoid Tesla Trouble, Sees 'Two Sides' to Uyghur Genocide","Elon Musk, the billionaire CEO of Tesla and SpaceX and most recently the owner of X/Twitter, has recently come under scrutiny for his willingness to accommodate China's policies to safeguard Tesla's business interests based on revelations contained in the rec…","Elon Musk, the billionaire CEO of Tesla and SpaceX and most recently the owner of X/Twitter, has recently come under scrutiny for his willingness to accommodate China’s policies to safeguard Tesla’s … [+3440 chars]"
The Jerusalem Post,By JERUSALEM POST STAFF,2023-10-09,Elon Musk: 'Khamenei’s position clear that eradication of Israel is the actual goal',Musk had also deleted a post recommending people follow a user who made antisemitic statements for updates on Operation Swords of Iron.,"Elon Musk, owner of X, formerly known as Twitter, slammed Iranian Supreme Leader Ali Khamenei on Sunday on the platform after he tweeted a video of Israeli civilians at a music festival running away … [+3061 chars]"
CNN,"Akanksha Sharma, Michelle Toh",2023-09-14,Taiwan hits back at Elon Musk's claim that it is 'part of China',"Taiwan's Ministry of Foreign Affairs has hit back after Elon Musk called the self-ruled island an ""integral part of China.""","Taiwans Ministry of Foreign Affairs has hit back after Elon Musk called the self-ruled island an integral part of China.
Speaking remotely at the All-in Summit, which took place in Los Angeles this … [+2691 chars]"
Business Insider,Tim Levin,2023-10-03,Jay Leno towed 30 tons with a Tesla Semi and said it felt like nothing,"Jay Leno got to drive Tesla's electric truck, the Semi, and said it felt familiar, smooth, and quick.","Jay Leno tows a Tesla Semi using another Tesla Semi in a recent YouTube video. Jay Leno's Garage
<ul><li>Jay Leno got to drive the Tesla Semi, Elon Musk's electric big rig. </li><li>He said it felt … [+2410 chars]"
News24,fin24,2023-09-19,News24 | Musk considers charging all X users monthly fee,"Elon Musk has suggested charging all users of his social media platform X, which would be the biggest shake-up since he took over the site then known as Twitter last October, but experts say he might struggle to get users on board.","Elon Musk has suggested charging all users of his social media platform X, which would be the biggest shake-up since he took over the site then known as Twitter last October, but experts say he might… [+3078 chars]"
The Verge,Casey Newton,2023-09-13,Nine wild details from the new Elon Musk biography,"Walter Isaacson’s Elon Musk biography brings new tales of Jack Dorsey, that Sergey Brin selfie, Grimes, and Musk’s favorite mobile game.","Nine wild details from the new Elon Musk biography
Nine wild details from the new Elon Musk biography
 / Walter Isaacson brings new tales of Jack Dorsey, that Sergey Brin selfie, and more.
ByCasey… [+10740 chars]"
The Irish Times,Derek Scally,2023-10-02,Germany criticises Elon Musk for publicising far-right message,Attitudes to immigration are hardening among many in Germany in advance of Sunday’s state elections,"Germany has criticised billionaire Elon Musk for spreading a post from a supporter of the far-right Alternative für Deutschland (AfD) that described European migration policy as suicide.
On his X so… [+3768 chars]"
Newsweek,Brendan Cole,2023-10-03,Russian State TV Suggests Elon Musk is 'Our Agent',"Television host Olga Skabeyeva called the Tesla founder ""magnificent"" for making fun of Ukraine's appeals for help.","Kremlin propagandists have praised Elon Musk for his mockery of Ukrainian President Volodymr Zelensky's appeals for military aid to fight Russian aggression.
The comments made on the Russia-1 channe… [+2875 chars]"
