source_name,author,date,title,description,content,title_label,title_score,content_label,content_score,description_label,description_score
ABC News,STEVE KARNOWSKI Associated Press,2023-09-12,Defense Department awards $20.6 million to support nickel prospecting in Minnesota and Michigan,The Department of Defense has awarded $20.6 million to developers of the proposed Talon nickel mine in Minnesota under a program to strengthen domestic supply chains for critical minerals,MINNEAPOLIS -- The Department of Defense on Tuesday awarded $20.6 million to developers of the proposed Talon nickel mine in Minnesota under a program to strengthen domestic supply chains for critica… [+3547 chars],positive,0.9311136603355408,positive,0.9074741005897522,positive,0.9370574951171875
ABC News,YURI KAGEYAMA AP business writer,2023-09-12,Stock market today: Asian shares trade mixed after Big Tech rally on Wall Street,"Asian shares are trading mixed following a Big Tech rally on Wall Street, as investors watch for an update on U.S. consumer prices set for later in the week","TOKYO -- Asian shares were trading mixed Tuesday following a Big Tech rally on Wall Street, as investors awaited an update on U.S. consumer prices set for later in the week. 
Japan's benchmark Nikke… [+3775 chars]",negative,0.6341068744659424,negative,0.838723361492157,negative,0.7199990749359131
Newsweek,Tom Norton,2023-09-12,Did Elon Musk Turn Off Starlink for Ukraine? What We Know,Excerpt from new Elon Musk biography had said the billionaire effectively thwarted a Ukrainian sub attack,"Elon Musk's involvement in the war in Ukraine was spotlighted in a new biography released on Tuesday, which claimed the world's richest man directly intervened in an attempted attack on Russian warsh… [+4218 chars]",neutral,0.9321566224098206,neutral,0.7483358383178711,neutral,0.8299420475959778
Business Insider,Grace Dean,2023-09-12,"After Elon Musk spoke to Neuralink director Shivon Zilis about his population decline fears, she decided to have children. He suggested being her sperm donor.","Zilis said that choosing to have Musk as a sperm donor was an ""easy decision"" because she admires him more than anyone else on earth.","nullChesnot/Getty Images
<ul><li>Elon Musk and Shivon Zilis decided to have children together after he spoke to her about population decline.</li><li>The tech mogul and Zilis, currently a Neuralink … [+3391 chars]",neutral,0.9144275188446045,neutral,0.8038919568061829,neutral,0.7935016751289368
Fortune,Alicia Adamczyk,2023-09-12,Workers and bosses are reaching a truce as hybrid work becomes the new norm among the biggest U.S. companies,"Hybrid work becomes the new norm among the biggest companies in the U.S>, a new study finds. ""It’s a pretty clear sign of where we’re heading.""","As workplaces grapple with the now annual post-Labor Day return-to-office debate, it may seem like companies have finally had enough with remote work. Come work in person or find a new job, bosses se… [+4408 chars]",negative,0.5751945972442627,neutral,0.6145113110542297,positive,0.7237996459007263
Business Insider,Kwan Wei Kevin Tan,2023-09-12,"Elon Musk's biographer says Musk has 'multiple' personalities — he can be 'brutal,' and also 'frightening and inspiring all at once'","""This is a person with multiple moods and modes and personalities, ranging from engineering mode to demon mode,"" said Walter Isaacson.","Elon Musk.Chesnot via Getty Images
<ul><li>Elon Musk's biographer says Musk ""is a person with multiple moods and modes and personalities.""</li><li>Walter Isaacson told The Atlantic that Musk's many … [+1825 chars]",neutral,0.7347090244293213,neutral,0.8700703978538513,neutral,0.8941041231155396
Business Insider,Sonam Sheth,2023-09-12,"Elon Musk followed his little sister around as a teen because he didn't want to be lonely, reading books when she went to clubs or parties, biography says","Musk's younger sister, Tosca, told him that he had to ""stay ten feet away"" from her when he joined her, according to a new biography.","Tosca and Elon MuskJon Kopaloff/Getty Images // Britta Pedersen-Pool/Getty Images
<ul>
<li>Elon Musk trailed his little sister to clubs and parties when they were teenagers, according to a new book.… [+1547 chars]",neutral,0.897853434085846,neutral,0.9254138469696045,neutral,0.6916905045509338
Financial Post,Bloomberg News,2023-09-12,"Tesla gets $80-billion boost from analyst call, but not everyone buys it",Some investors find Tesla Inc.'s $500-billion projection from Morgan Stanley 'outlandish' given its already high valuation. Find out more.,"Some investors find the $500-billion projection from Morgan Stanley 'outlandish' given its already high valuation 
Author of the article:
Tesla cars parked in a lot at the Tesla Inc. factory in Fre… [+7144 chars]",positive,0.7719053030014038,negative,0.7769718170166016,neutral,0.5014608502388
The Verge,Andrew J. Hawkins,2023-09-12,"Ford, Honda, and BMW create a new vehicle-to-grid company to help EV owners save money","Ford, Honda, and BMW are creating a new company called ChargeScape to help utilities and EV owners benefit from the expected surge in mobile batteries plugged into the grid.","Ford, Honda, and BMW create a new vehicle-to-grid company to help EV owners save money
Ford, Honda, and BMW create a new vehicle-to-grid company to help EV owners save money
 / The new company, Cha… [+2803 chars]",neutral,0.7877342700958252,neutral,0.8803429007530212,neutral,0.6470872163772583
TechCrunch,Rebecca Bellan,2023-09-12,Tesla robotaxi concept looks like a two-seater Cybertruck,"An image of a Cybertruck-inspired Tesla robotaxi concept was revealed in the new Elon Musk biography by Walter Isaacson that launched Tuesday.  The two-door,...","An image of a Cybertruck-inspired Tesla robotaxi concept was revealed in the new Elon Musk biography by Walter Isaacson that launched Tuesday.
The two-door, two-seater, ""Cybertruck-like"" compact veh… [+4724 chars]",neutral,0.9229718446731567,neutral,0.9328358769416809,neutral,0.9167619943618774
The Irish Times,Peter McGuire,2023-09-12,Is a college degree worth it any more?,No degree? No problem. Growing numbers of companies are looking beyond third-level qualification as a recruitment requirement,Were among the most overqualified workers in Europe. Costs for third-level accommodation are eye-watering. And growing numbers of employers are looking beyond college graduates in order to broaden th… [+8799 chars],neutral,0.881804883480072,positive,0.6781772971153259,neutral,0.7592447996139526
Fortune,Chloe Taylor,2023-09-12,‘Sapiens’ author says A.I. is an alien threat that could wipe us out,"Despite his own dire warnings, famed historian and philosopher Yuval Noah Harari said there was still time for something to be done to prevent the worst predictions from becoming a reality.","Billions of dollars are being poured into the development of A.I., with the technology being hailed as a revolutionbut famed historian and philosopher Yuval Noah Harari sees it as an alien species th… [+6037 chars]",negative,0.5238425731658936,neutral,0.8814449906349182,neutral,0.8075851202011108
Fortune,Christiaan Hetzner,2023-09-12,Elon Musk’s supercomputer Dojo added $70 billion to Tesla’s market cap. So what exactly is it?,Elon Musk's Tesla share price has jumped the equivalent of BMW Group's value after Morgan Stanley released a report on the potential of the A.I. dojo supercomputer.,"Teslas gonzo market cap is so enormous that its daily swings in value often exceed the sum total of most major automakers. On slow days it might only be the equivalent of Volvo or [hotlink]Nissan,[/h… [+3926 chars]",neutral,0.9199979901313782,neutral,0.8771044015884399,positive,0.9360656142234802
CNN,"Catherine Thorbecke, CNN",2023-09-12,Tesla shares jump after Morgan Stanley predicts Dojo supercomputer could add $500 billion in market value,"Tesla’s Dojo supercomputer could fuel a $500 billion jump in the electric vehicle maker’s market value, analysts at Morgan Stanley said in a note Monday.","Teslas Dojo supercomputer could fuel a $500 billion jump in the electric vehicle makers market value, analysts at Morgan Stanley said in a note Monday.
Shares of Tesla jumped more than 6% during ear… [+1678 chars]",positive,0.6485106348991394,positive,0.9389914870262146,positive,0.9349352121353149
TechRadar,Keumars Afifi-Sabet,2023-09-12,Scientists can get massive discounts when renting Nvidia’s A100 GPUs for AI training – but it won’t last long,"Take advantage of NERSC’s 50% discount, which is valid for members until the end of the month.","Users with the National Energy Research Scientific Computing Center (NERSC) can run AI jobs on the organization’s Perlmutter supercomputer for half-price this month.
In the midst of a lack of worldw… [+2381 chars]",neutral,0.7933541536331177,neutral,0.8436719179153442,neutral,0.8480876684188843
USA Today,"Jessica Guynn, USA TODAY",2023-09-12,Inside 'Elon Musk': Everything you need to know about the Walter Isaacson biography,"From relationships with Amber Heard and Grimes, 'demon mode' and Starlink, 'Elon Musk' offers an intimate look inside the famous billionaire's life.","Walter Isaacsons new biography, Elon Musk, that reveals new details about the private and professional lives of the worlds richest person, hit stores Tuesday.
Isaacson, 71, the bestselling author of… [+10862 chars]",neutral,0.9375524520874023,neutral,0.8079520463943481,neutral,0.8912345767021179
Business Insider,Sonam Sheth,2023-09-12,"Elon Musk followed his little sister around as a teen because he didn't want to be lonely, reading books when she went to clubs or parties, biography says","Musk's younger sister, Tosca, told him that he had to ""stay ten feet away"" from her when he joined her, according to a new biography.","Tosca and Elon MuskJon Kopaloff/Getty Images // Britta Pedersen-Pool/Getty Images
<ul>
<li>Elon Musk trailed his little sister to clubs and parties when they were teenagers, according to a new book.… [+1547 chars]",neutral,0.897853434085846,neutral,0.9254138469696045,neutral,0.6916905045509338
Business Insider,Kwan Wei Kevin Tan,2023-09-12,"Elon Musk's biographer says Musk has 'multiple' personalities — he can be 'brutal,' and also 'frightening and inspiring all at once'","""This is a person with multiple moods and modes and personalities, ranging from engineering mode to demon mode,"" said Walter Isaacson.","Elon Musk.Chesnot via Getty Images
<ul><li>Elon Musk's biographer says Musk ""is a person with multiple moods and modes and personalities.""</li><li>Walter Isaacson told The Atlantic that Musk's many … [+1825 chars]",neutral,0.7347090244293213,neutral,0.8700703978538513,neutral,0.8941041231155396
Fortune,Paolo Confino,2023-09-12,One of Elon Musk's favorite video games taught him the 'life lesson' that 'empathy is not an asset.' It's the opposite of what most CEOs preach,"Walter Isaacson’s new tome on the world’s richest man reveals his love for “Polytopia” and his credo to ""play life like a game.""","Elon Musks love of video games is well documented. The night he decided to buy Twitter, the social media platform now known as X, he played video games until 5:30 a.m., his biographer Walter Isaacson… [+9133 chars]",neutral,0.8559306263923645,neutral,0.9344140887260437,neutral,0.8330090641975403
Business Insider,ssheth@businessinsider.com (Sonam Sheth),2023-09-12,"Elon Musk learned hypnosis as a child and managed to convince his sister that she was a dog and to eat raw bacon, a new book says","Elon Musk learned magic tricks and hypnosis as a kid and once used it on his little sister, according to a new biography about the SpaceX and Tesla CEO.","When Elon Musk was a kid, he learned hypnosis and convinced his younger sister that she was a dog and persuaded her to eat raw bacon.
That's according to a new biography, ""Elon Musk,"" by the author … [+938 chars]",neutral,0.9181478023529053,neutral,0.933047354221344,neutral,0.9242417216300964
Fortune,Jane Thier,2023-09-12,How Elon Musk lost a friend over AI: Google co-founder Larry Page just 'refused to hang out' after the Tesla CEO stole his top worker,"After Musk tried to sabotage Google’s acquisition of DeepMind, he poached one of Page’s most valuable scientists to OpenAI with a $1.9 million salary.","Teslas Elon Musk and Googles Larry Page dont talk anymore. Thats what it says, definitively, in Walter Isaacsons biography of Musk, published Tuesday. Musk detailed his falling out with Google co-fou… [+4842 chars]",negative,0.7631450295448303,neutral,0.6339734196662903,negative,0.595662534236908
Business Insider,Joseph Wilkins,2023-09-12,Warren Buffett's Berkshire Hathaway sees its market value surge to a new record of almost $800 billion,"Monday's movements means that Buffett has now administered a more-than 4,300,000% gain in the value of Berkshire shares since he became CEO in 1965.","Warren Buffett, chairman and CEO of Berkshire Hathaway, right, listens to Microsoft founder and Berkshire board member Bill Gates during an interview with Liz Claman of the Fox Business Network in Om… [+2143 chars]",positive,0.910305380821228,neutral,0.9313235282897949,positive,0.8532516360282898
The Washington Post,Cat Zakrzewski,2023-09-12,"Nvidia, Palantir, IBM and more companies join White House AI pledge",The commitments include a promise to develop technology to identify AI-generated images and a vow to share data about safety with the government and academics.,"Comment on this story
Comment
Eight tech companies, including Salesforce and Nvidia, are signing on to the White Houses voluntary artificial intelligence pledge, joining a roster of prominent firms… [+2857 chars]",neutral,0.9331667423248291,neutral,0.7836820483207703,positive,0.7131885290145874
Fortune,Irina Ivanova,2023-09-12,Elon Musk sent a graphic mid-childbirth picture of Grimes to friends and family and was surprised when she got upset,"When Musk shared the photo with Grimes’ father and brothers, she said “It was his Asperger’s coming out in full.”","Elon Musk, the worlds richest man and an avid proponent of having children, was so excited when his first child with the artist Grimes was born, he sent photos of the procedure to both their families… [+3417 chars]",neutral,0.8919835686683655,neutral,0.9210821986198425,neutral,0.9018297791481018
Business Insider,"Grace Kay,Grace Dean",2023-09-12,"Elon Musk 'associates love with being mean or abusive,' Grimes told biographer Walter Isaacson","""When we hang out, I make sure I'm with the right Elon,"" Grimes told Elon Musk biographer Walter Isaacson. ""There are guys in that head who don't like me.""","Grimes told Walter Isaacson that Elon Musk ""associates love with being mean or abusive"" because of his father.Theo Wargo/Getty Images
<ul>
<li>Elon Musk ""associates love with being mean or abusive"" … [+4780 chars]",neutral,0.5616244673728943,neutral,0.5557358860969543,neutral,0.7825674414634705
Next Big Future,Brian Wang,2023-09-12,Bill Gates Tries to Profit by Driving Down Tesla Shares and is Confused by Elon Musk Anger,Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a market by increasing the volume of buying and selling above …,Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a … [+7361 chars],negative,0.6646159887313843,neutral,0.9162037968635559,neutral,0.8899559378623962
Business Insider,Grace Dean,2023-09-12,"After Elon Musk spoke to Neuralink director Shivon Zilis about his population decline fears, she decided to have children. He suggested being her sperm donor.","Zilis said that choosing to have Musk as a sperm donor was an ""easy decision"" because she admires him more than anyone else on earth.","nullChesnot/Getty Images
<ul><li>Elon Musk and Shivon Zilis decided to have children together after he spoke to her about population decline.</li><li>The tech mogul and Zilis, currently a Neuralink … [+3391 chars]",neutral,0.9144275188446045,neutral,0.8038919568061829,neutral,0.7935016751289368
Fox News,"Brian Flood, Nikolas Lanum",2023-09-12,"Elon Musk biography contains inaccurate tale on Russia-Ukraine war incident, author admits: 'I made a mistake'",Author Walter Isaacson admitted he made a mistake with a story about how he characterized Elon Musk,"Author Walter Isaacson acknowledged a ""mistake"" in his much-anticipated biography on Elon Musk that came out this week that characterized the tech mogul as putting his finger on the scale in favor of… [+4272 chars]",negative,0.7398579120635986,negative,0.5222565531730652,negative,0.7734371423721313
Engadget,Mariella Moon,2023-09-12,"Apple chips made in the US still require assembly in Taiwan, report suggests","Apple chief Tim Cook previously announced that the tech giant will be purchasing chips for its iPhones, Macs and other key products made in Taiwan Semiconductor Manufacturing Company's (TSMC) new factory in Phoenix, Arizona. It seemed like a huge win for the …","Apple chief Tim Cook previously announced that the tech giant will be purchasing chips for its iPhones, Macs and other key products made in Taiwan Semiconductor Manufacturing Company's (TSMC) new fac… [+2816 chars]",neutral,0.8553991913795471,neutral,0.5519810914993286,positive,0.886496901512146
ABC News (AU),Elizabeth Byrne,2023-09-12,Canberra man accused of stealing Nick Kyrgios's Tesla wants case against him to be dropped,Lawyers for the 32-year-old accused of stealing Nick Kyrgios's Tesla say police are taking too long to hand over the full brief of evidence and the case should be abandoned.,"Lawyers for a man accused of stealing a Tesla car owned by tennis star Nick Kyrgios have asked the ACT Magistrates Court to abandon the case, because police have taken too long to produce the full br… [+2002 chars]",negative,0.6434407234191895,negative,0.8665342926979065,negative,0.9207957983016968
Ars Technica,Jonathan M. Gitlin,2023-09-12,This student-built EV just set a new world record for 0–62 mph,This student-built electric racer needed just 12.3 meters to hit 62 mph.,"Enlarge/ You don't need 2,000 hp to set a world record for the fastest time to 62 mph.
23 with 
There's a new world record for the fastest 0 to 62 mph (0100 km/h), courtesy of a team of students at… [+2386 chars]",neutral,0.5117358565330505,neutral,0.7240310311317444,neutral,0.8982056975364685
Business Insider,Grace Kay,2023-09-13,"Elon Musk wanted to build a house that looked like it 'fell out of space,' new book reveals","Elon Musk has said he owns a prefabricated home, but his biographer said he has discussed plans to build a new mega house on a horse farm in Texas.","Elon Musk pictured with a prefabricated house that was delivered to SpaceX in 2021. He has said he is living in a $50,000 house he rents from the space venture.Jorge Ramirez and Chesnot/Getty Images… [+5412 chars]",neutral,0.9208585619926453,neutral,0.9403820037841797,neutral,0.9400364756584167
Next Big Future,Brian Wang,2023-09-13,Billionaire Insider Ron Baron Reveals Tesla Secrets and Tesla’s Future,"Ron Baron is worth over $5 billion, manages about $45 billion in his stock funds and he and his funds are a top 20 owner in Tesla. He has picked multiple big winners in Tesla, SpaceX, Gartner, Arch and CoStar Group. As a big and early Tesla investor, Ron freq…","Ron Baron is worth over $5 billion, manages about $45 billion in his stock funds and he and his funds are a top 20 owner in Tesla. He has picked multiple big winners in Tesla, SpaceX, Gartner, Arch a… [+2453 chars]",neutral,0.9260414838790894,neutral,0.854045569896698,neutral,0.9052157402038574
ABC News,TOM KRISHER AP auto writer,2023-09-13,"Updated Ford F-150 gets new grille, other features as Ford shows it off on eve of Detroit auto show","The top-selling vehicle in America will get a bit of a facelift next year, one of just a few new or updated vehicles that will be shown off this week at Detroit’s big auto show","DETROIT -- The top-selling vehicle in America will get a bit of a facelift next year, one of just a few new or updated vehicles that will be shown off this week at Detroit's big auto show.
Ford unve… [+3900 chars]",neutral,0.697454571723938,neutral,0.7136781215667725,positive,0.8230906128883362
Business Insider,Theron Mohamed,2023-09-13,Warren Buffett's $123 billion fortune makes him richer than Larry Page - and he's closing in on Bill Gates and Larry Ellison,"Warren Buffett is now richer than Larry Page, Sergey Brin, Steve Ballmer, and Mark Zuckerberg, as Berkshire Hathaway stock hits record highs.","Warren Buffett.AP Images
<ul>
<li>Warren Buffett surged past Google cofounder Larry Page in the wealth rankings on Tuesday.</li>
<li>Buffett's fortune grew to $123 billion on the day, while Page's n… [+2345 chars]",neutral,0.8755037784576416,positive,0.7555341720581055,positive,0.7637929320335388
ABC News,"MARY CLARE JALONICK Associated Press, MATT O'BRIEN Associated Press",2023-09-13,"In closed forum, tech titans to give senators advice on artificial intelligence",Senate Majority Leader Chuck Schumer has been talking for several months about accomplishing a potentially impossible task: Passing bipartisan legislation within the next year that both encourages the rapid development of artificial intelligence and al...,WASHINGTON -- Senate Majority Leader Chuck Schumer has been talking for months about accomplishing a potentially impossible task: Passing bipartisan legislation within the next year that both encoura… [+7999 chars],neutral,0.9134593605995178,neutral,0.7298793196678162,neutral,0.6035968661308289
Next Big Future,Brian Wang,2023-09-13,Tesla Semi Crushing Freightliner eCascadia and BYD Semi in Real World Range Tests,The Run on Less Event is testing electric semi trucks with real world deliveries to test their range and payload performance. Tesla is getting up to double the range of many of these competing trucks. Pepsi Tesla semi trucks are getting 370 to 420 miles of ra…,The Run on Less Event is testing electric semi trucks with real world deliveries to test their range and payload performance. Tesla is getting up to double the range of many of these competing trucks… [+1691 chars],neutral,0.8646884560585022,positive,0.5456425547599792,neutral,0.6058796048164368
Business Insider,Lakshmi Varanasi,2023-09-13,Elon Musk's ex-wife told his biographer that deep inside the Tesla CEO 'is this manchild still standing in front of his father',"On an episode of Lex Fridman's podcast, Elon Musk's biographer talked about Musk's relationship to his father and its impact on Musk's personality.","Elon Musk's ex-wife, actress Talulah Riley, said that deep inside, Elon Musk is a ""manchild"" still standing in front of his father, according to Musk's biographer Walter Isaacson.Evan Agostini/AP Ima… [+3317 chars]",neutral,0.8957650661468506,neutral,0.9027193188667297,neutral,0.8621302247047424
ABC News (AU),Myles Houlbrook-Walk and Gavin Coote,2023-09-13,Two electric vehicles caught fire in Sydney this week. Here's what experts say you should know,"More and more drivers are opting for electronic vehicles over conventional cars. After two unrelated battery fires in Sydney in a week, experts say combustions are still rare.","There have been two separate fires this week in Sydney caused by lithium batteries from electric vehicles (EVs), destroying six cars, but experts insist the technology is safe if handled properly.
A… [+6246 chars]",neutral,0.841198742389679,negative,0.7667736411094666,neutral,0.7114508748054504
BBC News,,2023-09-13,"'Overwhelming consensus' to regulate AI, says Elon Musk",The Tesla CEO was among the top tech leaders meeting with US lawmakers to discuss AI governance,"Top tech leaders, including Elon Musk, Mark Zuckerberg, Sundar Pichai and Bill Gates, met US lawmakers on Wednesday to discuss AI governance.
'This meeting may go down in history as being very impor… [+47 chars]",positive,0.8356161713600159,negative,0.8586087822914124,neutral,0.8590039014816284
Next Big Future,Brian Wang,2023-09-13,Making Sense of Tesla Semi Real World Ranges at 400-440 Miles,"There are real world range tests for Tesla Semi, Freightliner eCascadia and other electric Semi trucks at the Run for Less event. Truck average driving speed is critical to the comparison of the real world ranges. People who lived through the 1970s and 1980s …","There are real world range tests for Tesla Semi, Freightliner eCascadia and other electric Semi trucks at the Run for Less event. Truck average driving speed is critical to the comparison of the real… [+2578 chars]",neutral,0.9349605441093445,neutral,0.9292935132980347,neutral,0.9315828084945679
The Washington Post,Cat Zakrzewski,2023-09-13,"Senate AI hearing draws Google, Meta and other tech executives","X’s Elon Musk, Meta’s Mark Zuckerberg, Google’s Sundar Pichai and OpenAI’s Sam Altman were among the tech leaders on Capitol Hill discussing AI regulation.","Comment on this story
Comment
Some of the most powerful tech leaders in the world including Tesla CEO Elon Musk and Meta CEO Mark Zuckerberg traveled to Capitol Hill for a meeting on artificial int… [+10166 chars]",neutral,0.8766645193099976,neutral,0.870149552822113,neutral,0.9254133105278015
The Washington Post,Toluse Olorunnipa,2023-09-13,Biden faces a moment of peril as UAW threatens broad strike,"Biden, the self-described “most pro-union president in history,” faces pressure to protect the economy while standing by workers.","Comment on this story
Comment
President Biden has simultaneously called himself the most pro-union president in history and the most effective environmental champion to occupy the Oval Office. As h… [+11180 chars]",negative,0.922510027885437,neutral,0.8791739344596863,negative,0.6426581740379333
Next Big Future,Brian Wang,2023-09-13,Tesla Semi Shows Real World Payload and Range Results at Run on Less Event,The Run on Less – Electric DEPOT is an 18-month study and demonstration event that explores how trucking fleets can scale up from one or two electric trucks to 15 or more. The North American Council for Freight Efficiency (NACFE) and RMI are hosting the event…,Brian Wang is a Futurist Thought Leader and a popular Science blogger with 1 million readers per month. His blog Nextbigfuture.com is ranked #1 Science News Blog. It covers many disruptive technology… [+593 chars],neutral,0.861514687538147,neutral,0.9299726486206055,neutral,0.8399491310119629
Business Insider,Pete Syme,2023-09-13,Chinese EV subsidies will be investigated by EU over concerns they're distorting the market with cheaper prices,"Ursula von der Leyen said the  bloc's market was being distorted because the price of Chinese EVs is ""kept artificially low by huge state subsidies.""","BYD's Atto 3.John Keeble/Getty Images
<ul><li>The European Commission president has announced an ""anti-subsidy investigation"" into Chinese EVs.</li><li>Ursula von der Leyen said the EU's market was … [+1708 chars]",negative,0.9045090675354004,negative,0.5163489580154419,negative,0.9355485439300537
Business Insider,Sinéad Baker,2023-09-13,"Ukraine is using its advanced Leopard tanks as a 'nocturnal predator' fighting mostly at night and at dawn, soldier says",A tank loader and a commander with Ukraine's 47th Mechanized Brigade said the Leopard 2A6 tanks are giving it an advantage at night.,"Yurii, a tank loader with the 47th Mechanized Brigade, speaks about the Leopard 2A6 tanks.X/Defense of Ukraine
<ul>
<li>Ukrainian troops praised the advanced Leopard 2A6 tank's night vision as an ad… [+3218 chars]",neutral,0.8826435208320618,positive,0.8952445387840271,positive,0.811082661151886
Business Insider,Jennifer Sor,2023-09-13,US stocks trade mixed as investors assess Fed outlook after August CPI comes in hotter than expected,Markets now see a 41% chance that the Federal Reserve could hike rates 25 basis points in November.,"Investors are widely expecting the Fed to pause interest rate hikes at its next policy meeting.Getty Images / Spencer Platt
<ul>
<li>US stocks were mixed on Wednesday as traders weighted the hot Aug… [+2539 chars]",negative,0.9385159015655518,negative,0.9619290232658386,positive,0.7238449454307556
Fortune,Paolo Confino,2023-09-13,"During ‘the most concentrated pain’ in his life, Elon Musk saved Tesla and created 'the algorithm' that would become his manufacturing and management philosophy","Elon Musk developed ""the algorithm"" while trying to save Tesla from financial ruin and facing the darkest moment of his personal life, new biography says.","One of Elon Musks biggest accomplishments happened during what he refers to as the darkest, most difficult time in his life. In July 2017, Tesla had just introduced its Model 3 sedan, a more moderate… [+7534 chars]",neutral,0.9206711053848267,positive,0.6046107411384583,neutral,0.914081871509552
