,source_name,author,date,title,description,content
23,Business Insider,Kylie Kirschner,9/14/2023,Google cofounder apparently tried to dodge the famous selfie Elon Musk took after the Tesla CEO denied having a one-night stand with his wife,"The new Elon Musk biography reveals that after WSJ reported on allegations that Musk slept with Sergey Brin's wife, Brin ""tried to avoid"" a selfie.","Musk denied having an affair with Shanahan, Brin's wife.Chip Somodevilla/Getty Images, Tim Mosenfelder/Getty Images
<ul>
<li>WSJ published a story last year that cited sources alleging Elon Musk sle… [+2675 chars]"
24,Business Insider,"Beatrice Nolan,Grace Dean",9/14/2023,"Elon Musk and his siblings hated one of their mom's boyfriends so much that they put tiny firecrackers in his cigarettes that exploded, book says","Walter Isaacson's book, ""Elon Musk,"" details the billionaire's childhood and relationship with his parents.","Maye Musk dated the man after she divorced Elon Musk's father Errol Musk, according to Walter Isaacson.ANGELA WEISS/AFP via Getty Images
<ul><li>The Musk siblings hated a man Maye Musk was dating so… [+1844 chars]"
25,CBS News,,9/14/2023,Elon Musk says AI needs "a referee" after Capitol Hill meeting,Among the ideas discussed was whether there should be an independent agency to oversee certain aspects of the rapidly developing technology.,The nation's biggest technology executives on Wednesday loosely endorsed the idea of government regulations for artificial intelligence at an unusual closed-door meeting in the U.S. Senate. But there… [+7701 chars]
26,Business Insider,Zahra Tayeb,9/15/2023,Short-seller Jim Chanos is still betting against Tesla saying the stock is 'ridiculously overvalued' - and champions Nvidia as the 'It girl' of AI,"Famed short-seller Jim Chanos called Tesla a ""hopes and dreams"" stock, while hailing Nvidia as the ""It girl"" of an AI revolution currently underway.","Jim Chanos.David Orrell/CNBC/NBCU Photo Bank/NBCUniversal/Getty Images
<ul>
<li>Famed short-seller Jim Chanos said he remains bearish on Tesla, saying the stock is ""ridiculously overvalued."" </li>
<… [+1532 chars]"
27,News24,Compiled by Ahmed Areff,9/15/2023,"News24 Business | Musk's dad, the emerald mine and 'the blacks' - truth revealed in new biography","A new biography of Elon Musk, the controversial SA-born billionaire, has confirmed the existence of emerald mines in Zambia tied to his father.","<ul><li>A new biography of Elon Musk has confirmed the existence of emerald mines in Zambia tied to his father.</li><li>Musk has previously vehemently denied the existence of the mines, and offered a… [+3316 chars]"
28,Business Insider,"Lloyd Lee,Erin Snodgrass",9/15/2023,Google co-founder Sergey Brin quietly divorced his wife this year after allegations that she had an affair with Elon Musk,A judge rejected Brin's attempt to seal the case over concerns about his high-profile stature.,"Musk denied having an affair with Shanahan, Brin's wife.Chip Somodevilla/Getty Images, Tim Mosenfelder/Getty Images
<ul>
<li>Sergey Brin filed for a divorce from his second wife, Nicole Shanahan, in… [+3237 chars]"
29,NBC News,Courtney Kube,9/15/2023,"Warren, Shaheen and Duckworth want to know if Musk limited Ukraine's Starlink access at a crucial point in war with Russia","Sens. Warren, Shaheen and Duckworth are asking the U.S. military if Elon Musk limited Ukraine’s access to Starlink at a crucial point in the war with Russia.",Three Democratic members of the Senate Armed Services Committee are asking Defense Secretary Lloyd Austin for answers about whether Elon Musk or other commercial satellite providers disabled or restr… [+4814 chars]
30,Wired,Steven Levy,9/15/2023,"If Elon Musk Had Been a Happy Child, Would He Still Be Launching Rockets?","“Biographer of Genius” Walter Isaacson thinks he cracked the code to Elon Musk—the entrepreneur’s brutal childhood fueled his frenzied achievements in space, AI, brain chips, and electric cars.","I meet with Walter Isaacson in a small conference room in the offices of book publisher Simon &amp; Schuster. The walls are festooned with framed covers, including of course Isaacsons mega-bestseller… [+6988 chars]"
31,BBC News,https://www.facebook.com/bbcnews,9/15/2023,Taiwan tells Elon Musk it is 'not for sale',Mr Musk draws anger from Taipei again for his comments saying the island belongs to China.,"Taiwan has told billionaire Elon Musk it is ""not for sale"" after he said the island was a part of China.
""Listen up, Taiwan is not part of the PRC [People's Republic of China] &amp; certainly not fo… [+2145 chars]"
32,Business Insider,Tim Levin,9/15/2023,"I compared Tesla rivals from Kia, Hyundai, and Genesis — and found the decision boils down to if you prefer style, luxury, or performance",Hyundai is making some of the best electric cars out there -- and has one of the best Tesla alternatives I've come across yet.,"The Kia EV6 GT, Genesis GV60, and Hyundai Ioniq 5 are three cool electric SUVs.Tim Levin/Insider
<ul>
<li>Hyundai and its Kia and Genesis brands are making some of the best electric cars today. </li… [+6364 chars]"
33,Mashable,Former Employees,9/15/2023,Elon Musk Headed For A Settlement In Lawsuit By Former Employees Accusing Twitter Of Cheating On Severance Pay,Elon Musk Headed For A Settlement In Lawsuit By Former Employees Accusing Twitter Of Cheating On Severance Paymashable.com,"Elon Musk is finally coming to terms with the lawsuit filed by thousands of former Twitter employees who alleged the firm cheated them out of severance. Formerly known as Twitter, X Corp. has now agr… [+2226 chars]"
34,Fortune,Alexa Mikhail,9/16/2023,"Elon Musk thrives in a state of chaos and war, according to his new biography. Is the world's richest man addicted to risk-taking?",One theory behind billionaire entrepreneur Elon Musk’s risk-taking behaviors.,"To say Elon Musks businesses have been doing well would be a massive understatement. This spring, Tesla had grown by 71% compared to the previous year and was valued at $1 trillion. And SpaceX, value… [+3586 chars]"
35,Next Big Future,Brian Wang,9/16/2023,Tesla FSD and AI Will Drive Share Price Like Amazon AWS,"Morgan Stanley raised their target on Tesla on Sunday to $400 and this caused Tesla shares to surge about 10% on Monday. I, Brian Wang of Nextbigfuture, talked Herbert Ong about how I see FSD Income growth unfolding over the next few years. This is a follow u…","Morgan Stanley raised their target on Tesla on Sunday to $400 and this caused Tesla shares to surge about 10% on Monday. I, Brian Wang of Nextbigfuture, talked Herbert Ong about how I see FSD Income … [+4492 chars]"
36,The Washington Post,Evan Halper,9/18/2023,Tesla and EV supply chains raise concerns about forced labor in China,"Companies with ties to China’s oppressive tactics in Xinjiang are becoming embedded in the EV supply chain, worrying experts who say the industry is at an inflection point on human rights.","Reporter Evan Halper spent months mapping the opaque China-based supply chains behind the production of millions of electric vehicles. With the help of researchers, he pieced together hundreds of fin… [+29891 chars]"
37,Hacker News,,9/18/2023,Y Combinator Podcast #4: Sam Altman Interviews Elon Musk,"Elon is the CEO of SpaceX and Tesla Motors.

Originally a cofounder of Paypal, Elon Musk founded SpaceX to enable the
colonization of Mars.


--------------------------------------------------------------------------------








----------------------------…","Elon is the CEO of SpaceX and Tesla Motors.
Originally a cofounder of Paypal, Elon Musk founded SpaceX to enable the colonization of Mars.
Subscribe
iTunesGoogle PlayStitcherRSS
Transcript
Craig… [+20035 chars]"
38,The Washington Post,Will Oremus,9/18/2023,"Netanyahu, Musk meet at Tesla factory to discuss AI",Tech magnate Elon Musk and Israeli Prime Minister Benjamin Netanyahu are meeting in California to discuss AI as each looks to the other to fend off criticism.,"Comment on this story
Comment
Tech magnate Elon Musk and Israeli Prime Minister Benjamin Netanyahu are meeting at Teslas factory in Fremont, Calif., on Monday in a session each hopes will help fend… [+1806 chars]"
39,Next Big Future,Brian Wang,9/18/2023,Twitter Space on the Next Great Power,"I, Brian Wang, will be talking with Warren Redlich and @Anything Tesla about the Next Great Power. China vs USA vs India. I will be making a case for ASEAN and Canada. We will discuss demographics, immigration-emigration and people, money and technology. I wo…","I, Brian Wang, will be talking with Warren Redlich and @Anything Tesla about the Next Great Power. China vs USA vs India.
I will be making a case for ASEAN and Canada. We will discuss demographics, … [+1989 chars]"
40,Business Insider,tcarter@insider.com (Tom Carter),9/18/2023,"Elon Musk shared some painfully awkward small talk with Turkey's president, with Erdogan asking the unmarried billionaire how his wife is",The Tesla CEO shared an awkward moment with Recep Tayyip Erdogan as he brought his son X to a meeting to discuss Tesla and Starlink.,"Elon Musk shared an awkward moment with Recep Tayyip Erdogan as he brought his son X to a meeting with the Turkish president.
""Where is your wife?"" asked Erdogan, as the two men exchanged small talk… [+1588 chars]"
41,The Hill,Sarah Fortinsky,9/18/2023,"Musk, Erdogan discuss Tesla plant in Turkey","Tech billionaire Elon Musk and Turkish President Recep Tayyip Erdogan discussed the prospect of building Tesla’s newest factory in Turkey, at a meeting...","Tech billionaire Elon Musk and Turkish President Recep Tayyip Erdoan discussed the prospect of building Teslas newest factory in Turkey, at a meeting Monday in New York.
Erdoan, who is in New York f… [+1377 chars]"
42,Fortune,"Selcan Hacaoglu, Bloomberg",9/18/2023,"Musk took his son to meet Turkish President Erdogan, who asked him to build a Tesla plant in Turkey","Erdogan has been encouraging development of a self-sufficient defense industry, including production of unmanned combat aircraft, to support Turkey’s military in a region mired in conflict.","Elon Musk visited Turkish President Recep Tayyip Erdogan in New York, spending about a 45 minutes discussing artificial intelligence and a potential Tesla factory.According to Erdogans office, he inv… [+1644 chars]"
43,Al Jazeera English,Al Jazeera,9/18/2023,Netanyahu talks to Elon Musk in California about anti-Semitism on X,Netanyahu’s high-profile visit comes at a time when Musk is facing accusations of tolerating anti-Semitism on X.,"Prime Minister Benjamin Netanyahu is starting a US trip in California to talk about technology and artificial intelligence with billionaire businessman Elon Musk.
The Israeli leader posted Monday on… [+4420 chars]"
44,Fortune,"Marissa Newman, Bloomberg",9/18/2023,"Despite a war against the ADL and hate on his social media service, Elon Musk tells Benjamin Netanyahu he's no antisemite",Israel's prime minister said hoped Musk would find it “within the confines of the First Amendment to limit antisemitism and hate.”,Elon Musk opened up a discussion with Israeli Prime Minister Benjamin Netanyahu by staunchly defending himself against accusations of antisemitism.Obviously Im against antisemitism. Im against anti-a… [+3795 chars]
45,ABC News,The Associated Press,9/18/2023,Turkey's President Erdogan and Elon Musk discuss establishing a Tesla car factory in Turkey,"Turkish President Recep Tayyip Erdogan has called on Elon Musk, the head of electric carmaker Tesla, to establish a factory in Turkey","ISTANBUL -- Turkish President Recep Tayyip Erdogan called on Elon Musk, the head of electric carmaker Tesla, to establish a factory in Turkey during a meeting in New York, Erdogans office said Monday… [+792 chars]"
46,Fortune,The Associated Press,9/18/2023,Elon Musk accuses George Soros of wanting 'destruction of western civilization' a day before meeting Netanyahu over antisemitism on X,"A day before discussing antisemitism on X, Musk said Soros’ organization “appears to want nothing less than the destruction of western civilization.”",Israeli Prime Minister Benjamin Netanyahu kicked off a U.S. trip in California to talk to billionaire businessman Elon Musk about antisemitism on his social media platform X while Musk asked him to a… [+5616 chars]
47,The Jerusalem Post,By REUTERS,9/18/2023,"Turkey wants a Tesla factory, Erdogan tells Elon Musk","Many Turkish suppliers are already working with Tesla and Turkey was among the most important candidates for its next factory, Musk replied.","Turkish President Tayyip Erdogan asked Tesla CEO Elon Musk to build a Tesla factory in Turkey, the country's communications directorate said on Monday.
It cited Musk as saying that many Turkish supp… [+1676 chars]"
48,The Jerusalem Post,By JERUSALEM POST STAFF,9/18/2023,"Tesla, Saudi Arabia in early talks for EV factory",Saudi Arabia is in early talks with US electric automaker Tesla to set up a manufacturing facility in the king,"Saudi Arabia is in early talks with US electric automaker Tesla to set up a manufacturing facility in the kingdom, the Wall Street Journal reported on Monday, citing sources familiar with the matter."
49,The Jerusalem Post,By DANIEL GOLDMAN,9/18/2023,"Will Netanyahu, Musk talk AI, innovation or X antisemitism? - opinion","Will Benjamin Netanyahu and Elon Musk discuss AI, electric vehicles, and innovation, or allegations that under Musk, X has become an incubator for antisemitism?","Israeli Prime Minister Benjamin Netanyahu is visiting the United States this week. During the visit he is scheduled to meet with Elon Musk.
Musk is one of the richest people on the planet. His net w… [+8450 chars]"
50,BBC News,https://www.facebook.com/bbcnews,9/19/2023,Elon Musk: Social media platform X could go behind paywall,"The billionaire suggested the social media platform, now called X, could charge for use of ""the system"".","Elon Musk has suggested that all users of X, formerly called Twitter, may have to pay for access to the platform.
In a conversation with Israeli Prime Minister Benjamin Netanyahu, the billionaire sa… [+2738 chars]"
51,The Irish Times,Dan Milmo,9/19/2023,"Elon Musk says X, formerly Twitter, moving to charging ‘small monthly payment’ for site","World’s richest person, who has history of making impromptu statements, says paywall for platform would ward off automated accounts","X, formerly Twitter, owner Elon Musk has said he's looking at introducing a monthly payment for all users of the site to combat bots. Elon Musk has indicated that X, formerly known as Twitter, is con… [+2353 chars]"
52,Next Big Future,Brian Wang,9/19/2023,Comparing Tesla Semi Versus Diesel Semis With Real World Data,There is now real world driving data on the Tesla Semi and other electric Semi trucks from the Runonless testing event. The World has a global fleet of about 30 million Semi trucks and about 3 million are purchased every year. 70% of the large and Semi trucks…,There is now real world driving data on the Tesla Semi and other electric Semi trucks from the Runonless testing event. The World has a global fleet of about 30 million Semi trucks and about 3 millio… [+7282 chars]
53,Business Insider,Sawdah Bhaimiya,9/19/2023,The boss of the United Auto Workers union said Tesla workers are 'scraping to get by' so that 'greedy people like Elon Musk can build more rocket ships',Thew United Auto Worker's union boss defended worker demands for higher pay saying companies could double wages and "still make billions in profits.","UAW President Shawn Fain marches with UAW members through downtown Detroit on September 15, 2023.Bill Pugliano/Getty
<ul><li>The United Auto Workers president Shawn Fain defended worker demands for … [+2765 chars]"
54,TechCrunch,Amanda Silberling,9/19/2023,"Elon Musk’s Twitter (now X): Everything you need to know, from layoffs to verification","Welcome to Elon Musk’s Twitter (now X), where the rules are made up and the check marks don’t matter. The Tesla and SpaceX CEO first announced his bid to buy Twitter in April 2022, zealously driven to rid the platform of spam bots and protect free speech. “Th…","Welcome to Elon Musks Twitter (now X), where the rules are made up and the check marks dont matter.
The Tesla and SpaceX CEO first announced his bid to buy Twitter in April 2022, zealously driven to… [+55937 chars]"
55,Breitbart News,"Lucas Nolan, Lucas Nolan",9/19/2023,Pay Up or Go: Elon Musk Hints at 'Small Monthly Payment' to Access Twitter/X,"In a recent livestream with Israeli Prime Minister Benjamin Netanyahu, Elon Musk discussed plans to introduce a monthly subscription fee for all users of X, formerly known as Twitter, as part of a strategy to combat the platform's ""vast armies of bots.""","In a recent livestream with Israeli Prime Minister Benjamin Netanyahu, Elon Musk discussed plans to introduce a monthly subscription fee for all users of X, formerly known as Twitter, as part of a st… [+2256 chars]"
56,Financial Post,Financial Post Staff,9/19/2023,Live news: Unifor extends auto strike deadline after 'substantive offer' from Ford,"The Financial Post brings you the top business stories as they happen for September 19, 2023. Read on for breaking news you need to know.","Article content
Elon Musk in Washington, D.C., on Sept. 13.Photo by Chip Somodevilla/Getty Images
Elon Musk said that a small monthly service fee for using X could help fight off bot operations on … [+4172 chars]"
57,Fortune,Christiaan Hetzner,9/19/2023,Musk wants to charge everyone to use Twitter to counter 'bots’,"Bots are actually advertisers' problems, but Musk needs to get account details from all his users if he wants to create an 'everything app' that rivals WeChat.","Right after he offered to buy Twitter for $44 billion last April, Elon Musk tweeted triumphantly we will defeat the spam bots or die trying!Almost a year into owning what he has renamed X, Musk by hi… [+3986 chars]"
58,News24,news24,9/19/2023,News24 | Israeli PM Netanyahu urges Musk to curb anti-Semitism on X platform,Israel's Prime Minister Benjamin Netanyahu on Monday urged Elon Musk to fight anti-Semitism on his X platform as he sat down with the tech tycoon to discuss artificial intelligence.,<ul><li>The conversation between Benjamin Netanyahu and Elon Musk was broadcast on the X platform.</li><li>Musk has threatened to sue a US based Jewish organisation for making accusations of anti-Sem… [+2802 chars]
59,TechCrunch,Rebecca Bellan,9/19/2023,DOJ investigates Elon Musk perks at Tesla | TechCrunch,The U.S. Department of Justice is investigating the personal benefits that Tesla may have provided its CEO Elon Musk since 2017 as part of a criminal,The U.S. Department of Justice is investigating the personal benefits that Tesla may have provided its CEO Elon Musk since 2017 as part of a criminal probe that is also looking into the use of compan… [+2094 chars]
60,The Jerusalem Post,By ZACHY HENNESSEY,9/19/2023,Israeli tech leaders critique Netanyahu-Musk meeting: AI integration falls short,Prominent venture capitalist Michael Eisenberg: "The CEOs of technology companies are stronger today than world leaders. They are a center of power.","Two prominent investors and opinion leaders in the Israeli tech sphere criticized the content of Prime Minister Benjamin Netanyahu’s with Tesla CEO Elon Musk on Monday. 
Prominent venture capitalist… [+3587 chars]"
61,The Jerusalem Post,By IMRAN AHMED,9/19/2023,"Elon Musk's embrace of antisemitism, hate speech is a danger to Jews - opinion","Elon Musk's actions since taking the helm of X have additionally made it easier for extremists and neo-Nazis to publish and spread the anti-Jewish hatred, lies, and conspiracy theories.",New research published last week by the Center for Countering Digital Hate (CCDH) shows that X (formerly Twitter) continues to host nearly 86% of the 300 posts we reported for hate speech which inclu… [+5150 chars]
62,The Jerusalem Post,By ZVIKA KLEIN,9/19/2023,WZO leaders clash over Netanyahu-Musk meeting,Discussions in the WZO about Prime Minister Benjamin Netanyahu's meeting with Elon Musk started Monday and continued Tuesday.,"The Monday conversation between Israeli Prime Minister Benjamin Netanyahu and Tesla CEO Elon Musk, aimed at addressing concerns about antisemitism, has ignited a lively debate among senior officials … [+3827 chars]"
63,TechCrunch,Aria Alamalhodaei,9/20/2023,"J.B. Straubel talks Tesla, Redwood Materials and keeping a startup mentality at any scale | TechCrunch","J.B. Straubel has worn many hats in his career: co-founder of Tesla, Tesla Board Member, and more recently, founder and CEO of battery materials and","J.B. Straubel has worn many hats in his career: co-founder of Tesla, Tesla Board Member, and more recently, founder and CEO of battery materials and recycling startup Redwood Materials.
But in his h… [+3554 chars]"
64,Business Insider,Tim Levin,9/20/2023,A Tesla sedan drag raced a $4 million Bugatti — the results were surprisingly close,"The $110,000 Tesla Model S Plaid did surprisingly well against the multimillion-dollar Bugatti supercar.","Both the Tesla and the Bugatti offer massive amounts of horsepower and speed — but one is gas-powered and one is electric. Bugatti, Tesla
<ul><li>A Tesla Model S drag raced a Bugatti Chiron. </li><l… [+2290 chars]"
65,Business Insider,Hasan Chowdhury,9/20/2023,Elon Musk denied a report that Tesla planned to build a factory in Saudi Arabia. It's the latest development in his complicated history with the nation.,Tesla CEO Elon Musk has a thorny and sometimes adversarial relationship with the Saudi government. Here's what we know.,"Elon Musk has a longstanding feud with Saudi Arabia. Chesnot/Getty Images
<ul><li>Elon Musk has denied a report suggesting Tesla has plans to set up a factory in Saudi Arabia.</li><li>The Wall Stree… [+6664 chars]"
66,Newsweek,Sophie Lloyd,9/21/2023,Kathy Griffin Explains Elon Musk Feud—'He Got Very Upset With Me',The comedian said the SpaceX founder kicked her off Twitter "personally" due to the stunt.,"Kathy Griffin has revealed the reason for her feud with Elon Musk, after the tech mogul kicked the comedian off Twitter last year.
Appearing on the podcast Onward with Rosie O'Donnell, the 62-year-o… [+3905 chars]"
