source_name,author,date,title,description,content,label,tesla_related,tesla_related_num,sentiment_label_num,title_desc,one_shot_class,few_shot_class_2,few_shot_class_3,few_shot_class_4,few_shot_class_5
Next Big Future,Brian Wang,9/13/2023,Tesla Semi Shows Real World Payload and Range Results at Run on Less Event,The Run on Less  Electric DEPOT is an 18-month study and demonstration event that explores how trucking fleets can scale up from one or two electric trucks to 15 or more. The North American Council for Freight Efficiency (NACFE) and RMI are hosting the event,Brian Wang is a Futurist Thought Leader and a popular Science blogger with 1 million readers per month. His blog Nextbigfuture.com is ranked #1 Science News Blog. It covers many disruptive technology [+593 chars],positive,yes,1,2,Tesla Semi Shows Real World Payload and Range Results at Run on Less Event The Run on Less  Electric DEPOT is an 18-month study and demonstration event that explores how trucking fleets can scale up from one or two electric trucks to 15 or more. The North American Council for Freight Efficiency (NACFE) and RMI are hosting the event,Yes,Yes,"Yes, it is related to Tesla.",Yes,"Yes, it is related to Tesla."
Business Insider,Brent D. Griffiths,9/13/2023,Elon Musk told biographer that Trump is 'the world champion of bullshit',"According to Walter Isaacson's biography, Musk approached Trump's election with cautious optimism that later vanished in the face of ""buffoonery.""","Tesla CEO Elon MuskChesnot/Getty Images
<ul>
<li>Elon Musk told his biographer that he's ""not Trump's fan.""</li>
<li>Musk, according to Walter Isaacson's new book, also called the former president "" [+1974 chars]",neutral,no,0,1,"Elon Musk told biographer that Trump is 'the world champion of bullshit' According to Walter Isaacson's biography, Musk approached Trump's election with cautious optimism that later vanished in the face of ""buffoonery.""",No,No,No,No,No
Breitbart News,"Allum Bokhari, Allum Bokhari",9/13/2023,Elon Musk: Left-Wing ADL Was 'Instrumental' In Blacklisting Donald Trump from Twitter,"Twitter/X owner Elon Musk, embroiled in an ongoing war of words with the far-left Anti-Defamation League (ADL), which has pushed for censorship of conservatives on all platforms, has said the organization was ""instrumental"" in getting Donald Trump blacklisted","Twitter/X owner Elon Musk, embroiled in an ongoing war of words with the far-left Anti-Defamation League (ADL), which has pushed for censorship of conservatives on all platforms, has said the organiz [+3028 chars]",neutral,no,0,1,"Elon Musk: Left-Wing ADL Was 'Instrumental' In Blacklisting Donald Trump from Twitter Twitter/X owner Elon Musk, embroiled in an ongoing war of words with the far-left Anti-Defamation League (ADL), which has pushed for censorship of conservatives on all platforms, has said the organization was ""instrumental"" in getting Donald Trump blacklisted",No,"No, it is not related to Tesla.","No, it is not possible to tell","No, it is not possible to tell","No, it is not possible to tell"
The Washington Post,Cat Zakrzewski,9/13/2023,"Senate AI hearing draws Google, Meta and other tech executives","Xs Elon Musk, Metas Mark Zuckerberg, Googles Sundar Pichai and OpenAIs Sam Altman were among the tech leaders on Capitol Hill discussing AI regulation.","Comment on this story
Comment
Some of the most powerful tech leaders in the world including Tesla CEO Elon Musk and Meta CEO Mark Zuckerberg traveled to Capitol Hill for a meeting on artificial int [+10166 chars]",positive,yes,1,2,"Senate AI hearing draws Google, Meta and other tech executives Xs Elon Musk, Metas Mark Zuckerberg, Googles Sundar Pichai and OpenAIs Sam Altman were among the tech leaders on Capitol Hill discussing AI regulation.",No,"No, it is not related to Tesla.",No,No,No
Fortune,Chloe Berger,9/13/2023,"How Musk and Bezos first met, with an insulted Elon inviting himself to tour Blue Origin","The two billionaire CEOs rubbed each other the wrong way upon meeting, according to new biography about Elon Musk.","Billionaire CEOs are like betta fish. Put them in the same tank and they might get territorial (or write passive-aggressive tweets). At least, that seems to be the case for Elon Musk and Jeff Bezos,  [+4327 chars]",neutral,no,0,1,"How Musk and Bezos first met, with an insulted Elon inviting himself to tour Blue Origin The two billionaire CEOs rubbed each other the wrong way upon meeting, according to new biography about Elon Musk.",No,"No, it is not related to Tesla.",No,No,"No, it is not possible to tell"
TechCrunch,Jagmeet Singh,9/13/2023,"Tesla plans to almost double component sourcing from India to $1.9B this year, says minister | TechCrunch","Tesla is planning to nearly double its component sourcing from India to up to $1.9 billion this year, the nations trade minister has said, underscoring Tesla is planning to nearly double its component sourcing from India to up to $1.9 billion this year, the ","Tesla is planning to nearly double its component sourcing from India to up to $1.9 billion this year, the nations trade minister has said, underscoring the growth of electric-vehicle component manufa [+2512 chars]",positive,yes,1,2,"Tesla plans to almost double component sourcing from India to $1.9B this year, says minister | TechCrunch Tesla is planning to nearly double its component sourcing from India to up to $1.9 billion this year, the nations trade minister has said, underscoring Tesla is planning to nearly double its component sourcing from India to up to $1.9 billion this year, the ",Yes,Yes,"Yes, it is related to Tesla.","Yes, it is related to Tesla.","Yes, it is related to Tesla."
The Times of India,Bloomberg,9/13/2023,Tesla got an $80 billion boost from analyst call. Not everyone buys it,"Meanwhile, Tesla is still working on developing a software that will make its cars truly self-driving, though experts and analysts see a broad adoption of fully autonomous cars as still years, if not decades, away. Jonas had lowered his estimate for Tesla Mob","This may sound familiar: Morgan Stanley analyst Adam Jonas makes an extraordinarily bullish call on the future of Tesla Inc. and the shares go on a wild binge.It happened in 2015, and its happening a [+3906 chars]",negative,yes,1,0,"Tesla got an $80 billion boost from analyst call. Not everyone buys it Meanwhile, Tesla is still working on developing a software that will make its cars truly self-driving, though experts and analysts see a broad adoption of fully autonomous cars as still years, if not decades, away. Jonas had lowered his estimate for Tesla Mob",Yes,Yes,"Yes, it is related to Tesla.","Yes, it is related to Tesla.","Yes, it is related to Tesla."
Business Insider,Phil Rosen,9/13/2023,Tesla is the most shorted stock in the market - and investors have bet against it more than any other name for 3 straight months,"Elon Musk's EV maker topped the list of most shorted US large-cap stocks for a third consecutive month in August, a new report showed.","Tesla CEO Elon Musk.Yichuan Cao/NurPhoto via Getty Images
<ul>
<li>Tesla was the most shorted US large-cap stock for the third consecutive month in August, securities firm Hazeltree said.</li>
<li>C [+1781 chars]",positive,yes,1,2,"Tesla is the most shorted stock in the market - and investors have bet against it more than any other name for 3 straight months Elon Musk's EV maker topped the list of most shorted US large-cap stocks for a third consecutive month in August, a new report showed.",Yes,Yes,"Yes, it is related to Tesla.",Yes,"Yes, it is related to Tesla."
Fortune,"Anna Edgerton, Bloomberg",9/13/2023,Elon Musk tells senators AI is a double-edged sword that can do goodbut also destroy civilization,"Musk, the CEO Tesla, told senators they shouldnt be worried about self-driving cars, but instead should focus their concerns on what he called deeper AI.","Elon Musk called artificial intelligence a double-edged sword, telling US senators Wednesday that the technology can be a tremendous source for good but warning about risks to civilization, according [+1029 chars]",positive,yes,1,2,"Elon Musk tells senators AI is a double-edged sword that can do goodbut also destroy civilization Musk, the CEO Tesla, told senators they shouldnt be worried about self-driving cars, but instead should focus their concerns on what he called deeper AI.",Yes,Yes,"Yes, it is related to Tesla.",Yes,"Yes, it is related to Tesla."
Fortune,Grace Lordan,9/13/2023,Why critics love to hate Elon Muskand why his fans adore him,LSE's Grace Lordan explains how the psychology behind love and hate makes Musk elicit such emotional responses.,"There isnt a week that goes by that coverage of Elon Musk isnt dominating news headlines. Strikingly, a lot of the coverage concerns his own posts on X, where it has been estimated that he has the ab [+7688 chars]",neutral,no,0,1,Why critics love to hate Elon Muskand why his fans adore him LSE's Grace Lordan explains how the psychology behind love and hate makes Musk elicit such emotional responses.,No,"No, it is not related to Tesla.",No,No,"No, it is not possible to tell"
Business Insider,Lakshmi Varanasi,9/13/2023,Elon Musk's ex-wife told his biographer that deep inside the Tesla CEO 'is this manchild still standing in front of his father',"On an episode of Lex Fridman's podcast, Elon Musk's biographer talked about Musk's relationship to his father and its impact on Musk's personality.","Elon Musk's ex-wife, actress Talulah Riley, said that deep inside, Elon Musk is a ""manchild"" still standing in front of his father, according to Musk's biographer Walter Isaacson.Evan Agostini/AP Ima [+3317 chars]",neutral,no,0,1,"Elon Musk's ex-wife told his biographer that deep inside the Tesla CEO 'is this manchild still standing in front of his father' On an episode of Lex Fridman's podcast, Elon Musk's biographer talked about Musk's relationship to his father and its impact on Musk's personality.",Yes,"No, it is not related to Tesla.","Yes, it is related to Tesla.",Yes,"Yes, it is related to Tesla."
BBC News,https://www.facebook.com/bbcnews,9/13/2023,'Overwhelming consensus' on AI regulation - Musk,Tech heavyweights gathered in Washington DC to discuss the regulation of artificial intelligence.,"Media caption, Watch: 'Overwhelming consensus' to regulate AI, says Elon Musk
Tesla CEO Elon Musk says there was ""overwhelming consensus"" for regulation on artificial intelligence after tech heavywe [+2487 chars]",positive,yes,1,2,'Overwhelming consensus' on AI regulation - Musk Tech heavyweights gathered in Washington DC to discuss the regulation of artificial intelligence.,No,"No, it is not related to Tesla.","No, it is not possible to tell",No,"No, it is not possible to tell"
Business Insider,"Polly Thompson,Grace Dean",9/13/2023,"Elon Musk once caught malaria on safari and was 'hours from death,' book says",Walter Isaacson's new biography of Elon Musk gives more insight into why the Tesla and SpaceX billionaire seems to dislike taking time off.,"Elon Musk did take some time off in July 2022 when he visited the Greek island of Mykonos.MEGA/GC/Getty Images
<ul><li>Walter Isaacson's biography of Elon Musk shines new light on the world's riches [+4228 chars]",neutral,no,0,1,"Elon Musk once caught malaria on safari and was 'hours from death,' book says Walter Isaacson's new biography of Elon Musk gives more insight into why the Tesla and SpaceX billionaire seems to dislike taking time off.",Yes,"No, it is not related to Tesla.","Yes, it is related to Tesla.",No,"No, it is not possible to tell"
Business Insider,Grace Kay,9/13/2023,"Elon Musk wanted to build a house that looked like it 'fell out of space,' new book reveals","Elon Musk has said he owns a prefabricated home, but his biographer said he has discussed plans to build a new mega house on a horse farm in Texas.","Elon Musk pictured with a prefabricated house that was delivered to SpaceX in 2021. He has said he is living in a $50,000 house he rents from the space venture.Jorge Ramirez and Chesnot/Getty Images [+5412 chars]",neutral,no,0,1,"Elon Musk wanted to build a house that looked like it 'fell out of space,' new book reveals Elon Musk has said he owns a prefabricated home, but his biographer said he has discussed plans to build a new mega house on a horse farm in Texas.",No,"No, it is not related to Tesla.",No,No,"No, it is not possible to tell"
NBC News,"Lee Ying Shan, CNBC",9/14/2023,"Taiwan slams Elon Musk, says its not for sale nor part of China","Taiwan is not for sale, and neither is it part of China, said Taiwans Ministry of Foreign Affairs, in a rebuke to Elon Musk who called the island an integral part of China.","Taiwan is not for sale, and neither is it part of China, said Taiwans Ministry of Foreign Affairs, in a rebuke to Elon Musk who called the island an integral part of China.
Listen up, Taiwan is not  [+2095 chars]",negative,no,0,0,"Taiwan slams Elon Musk, says its not for sale nor part of China Taiwan is not for sale, and neither is it part of China, said Taiwans Ministry of Foreign Affairs, in a rebuke to Elon Musk who called the island an integral part of China.",No,"No, it is not related to Tesla.","No, it is not possible to tell","No, it is not possible to tell","No, it is not possible to tell"
CNN,"Akanksha Sharma, Michelle Toh",9/14/2023,Taiwan hits back at Elon Musk's claim that it is 'part of China',"Taiwan's Ministry of Foreign Affairs has hit back after Elon Musk called the self-ruled island an ""integral part of China.""","Taiwans Ministry of Foreign Affairs has hit back after Elon Musk called the self-ruled island an integral part of China.
Speaking remotely at the All-in Summit, which took place in Los Angeles this  [+2691 chars]",negative,no,0,0,"Taiwan hits back at Elon Musk's claim that it is 'part of China' Taiwan's Ministry of Foreign Affairs has hit back after Elon Musk called the self-ruled island an ""integral part of China.""",No,"No, it is not related to Tesla.","No, it is not possible to tell",No,"No, it is not possible to tell"
Breitbart News,"Allum Bokhari, Allum Bokhari",9/14/2023,Elon Musk Warns AI Poses 'Civilizational Risk' to Humanity,"Elon Musk, one of several tech tycoons who met lawmakers in Washington D.C. this week to discuss the burgeoning technology of AI, warned that intelligent machines have the potential to threaten all of human civilization.","Elon Musk, one of several tech tycoons who met lawmakers in Washington D.C. this week to discuss the burgeoning technology of AI, warned that intelligent machines have the potential to threaten all o [+1863 chars]",positive,yes,1,2,"Elon Musk Warns AI Poses 'Civilizational Risk' to Humanity Elon Musk, one of several tech tycoons who met lawmakers in Washington D.C. this week to discuss the burgeoning technology of AI, warned that intelligent machines have the potential to threaten all of human civilization.",No,"No, it is not related to Tesla.",No,No,"No, it is not possible to tell"
Business Insider,gdean@insider.com (Grace Dean),9/14/2023,"Elon Musk said that he had to take 'random drug tests for a couple of years' after smoking weed on the Joe Rogan podcast: 'Fortunately, I really don't like doing illegal drugs'","Elon Musk, who is known for cracking 420 jokes and has reportedly taken ketamine, told his biographer he ""really"" doesn't like taking illegal drugs.","Elon Musk, who is known for cracking 420 jokes and has reportedly taken ketamine, told his biographer that he ""really"" doesn't like taking illegal drugs.
The Wall Street Journal
 reported in June t [+3312 chars]",neutral,no,0,1,"Elon Musk said that he had to take 'random drug tests for a couple of years' after smoking weed on the Joe Rogan podcast: 'Fortunately, I really don't like doing illegal drugs' Elon Musk, who is known for cracking 420 jokes and has reportedly taken ketamine, told his biographer he ""really"" doesn't like taking illegal drugs.",No,"No, it is not related to Tesla.",No,No,"No, it is not possible to tell"
The Verge,Umar Shakir,9/14/2023,Teslas new car-building process could be a huge industrial breakthrough,"Tesla is reportedly close to building a new gigacasting die-cast process to build its possibly Cybertruck-like $25,000 car using techniques new to the automaking industry.","Teslas new car-building process could be a huge industrial breakthrough
Teslas new car-building process could be a huge industrial breakthrough
 / Tesla is close to implementing a new die-cast proc [+4204 chars]",positive,yes,1,2,"Teslas new car-building process could be a huge industrial breakthrough Tesla is reportedly close to building a new gigacasting die-cast process to build its possibly Cybertruck-like $25,000 car using techniques new to the automaking industry.",Yes,Yes,"Yes, it is related to Tesla.",Yes,"Yes, it is related to Tesla."
Engadget,Steve Dent,9/14/2023,Tesla gets $160 million in EU funding to expand its Supercharger network in 22 countries,"The European Union (EU) is providing 352 million ($378 million) in funding to support green transport infrastructure, and Tesla will get a large chunk of that money. The company's Polish and Italian divisions will receive a total of 148.72 million ($159.64 ","The European Union (EU) is providing 352 million ($378 million) in funding to support green transport infrastructure, and Tesla will get a large chunk of that money. The company's Polish and Italian  [+2386 chars]",positive,yes,1,2,"Tesla gets $160 million in EU funding to expand its Supercharger network in 22 countries The European Union (EU) is providing 352 million ($378 million) in funding to support green transport infrastructure, and Tesla will get a large chunk of that money. The company's Polish and Italian divisions will receive a total of 148.72 million ($159.64 ",Yes,Yes,"Yes, it is related to Tesla.",,"Yes, it is related to Tesla."
The Times of India,Pankaj Doval,9/14/2023,"Tesla may source $1.9bn parts this year, nearly 2x of 2022: Goyal","Even before it forays into India with its electric cars, American electric vehicle giant Tesla has begun heavy component sourcing from the country. It is expected to ship parts worth $1.7-1.9 billion this year from India. Commerce and industry minister Piyush","FD Calculator
When investing in a fixed deposit, the amount you deposit earns interest as per the prevailing...
Calculate Now",positive,yes,1,2,"Tesla may source $1.9bn parts this year, nearly 2x of 2022: Goyal Even before it forays into India with its electric cars, American electric vehicle giant Tesla has begun heavy component sourcing from the country. It is expected to ship parts worth $1.7-1.9 billion this year from India. Commerce and industry minister Piyush",Yes,Yes,"Yes, it is related to Tesla.","Yes, it is related to Tesla.","Yes, it is related to Tesla."
The Times of India,ET Online,9/14/2023,'Not for sale': Taiwan Foreign Min Joseph Wu rejects Elon Musk's assertion of Chinese sovereignty,"Elon Musk has caused controversy by referring to Taiwan as an ""integral part of China"" during a summit in Los Angeles. Taiwan's Foreign Minister, Joseph Wu, responded firmly, stating that Taiwan is ""not for sale."" The status of Taiwan has long been disputed, ","Elon Musk, the owner of various tech enterprises, including Tesla and X (formerly Twitter), has caused a stir by referring to Taiwan as an ""integral part of China."" The remarks were made during the A [+2078 chars]",negative,no,0,0,"'Not for sale': Taiwan Foreign Min Joseph Wu rejects Elon Musk's assertion of Chinese sovereignty Elon Musk has caused controversy by referring to Taiwan as an ""integral part of China"" during a summit in Los Angeles. Taiwan's Foreign Minister, Joseph Wu, responded firmly, stating that Taiwan is ""not for sale."" The status of Taiwan has long been disputed, ",No,"No, it is not related to Tesla.","No, it is not related to Tesla.","No, it is not related to Tesla.","No, it is not related to Tesla."
