source_name,author,date,title,description,content,title_desc,one_shot_class,tesla_related,label
Business Insider,ssheth@businessinsider.com (Sonam Sheth),2023-09-12,"Elon Musk learned hypnosis as a child and managed to convince his sister that she was a dog and to eat raw bacon, a new book says","Elon Musk learned magic tricks and hypnosis as a kid and once used it on his little sister, according to a new biography about the SpaceX and Tesla CEO.","When Elon Musk was a kid, he learned hypnosis and convinced his younger sister that she was a dog and persuaded her to eat raw bacon.
That's according to a new biography, ""Elon Musk,"" by the author  [+938 chars]","Elon Musk learned hypnosis as a child and managed to convince his sister that she was a dog and to eat raw bacon, a new book says Elon Musk learned magic tricks and hypnosis as a kid and once used it on his little sister, according to a new biography about the SpaceX and Tesla CEO.",yes,,
Newsweek,Tom Norton,2023-09-12,Did Elon Musk Turn Off Starlink for Ukraine? What We Know,Excerpt from new Elon Musk biography had said the billionaire effectively thwarted a Ukrainian sub attack,"Elon Musk's involvement in the war in Ukraine was spotlighted in a new biography released on Tuesday, which claimed the world's richest man directly intervened in an attempted attack on Russian warsh [+4218 chars]",Did Elon Musk Turn Off Starlink for Ukraine? What We Know Excerpt from new Elon Musk biography had said the billionaire effectively thwarted a Ukrainian sub attack,no,no,neutral
USA Today,"Jessica Guynn, USA TODAY",2023-09-12,Inside 'Elon Musk': Everything you need to know about the Walter Isaacson biography,"From relationships with Amber Heard and Grimes, 'demon mode' and Starlink, 'Elon Musk' offers an intimate look inside the famous billionaire's life.","Walter Isaacsons new biography, Elon Musk, that reveals new details about the private and professional lives of the worlds richest person, hit stores Tuesday.
Isaacson, 71, the bestselling author of [+10862 chars]","Inside 'Elon Musk': Everything you need to know about the Walter Isaacson biography From relationships with Amber Heard and Grimes, 'demon mode' and Starlink, 'Elon Musk' offers an intimate look inside the famous billionaire's life.",no,no,neutral
TechCrunch,Rebecca Bellan,2023-09-12,Tesla robotaxi concept looks like a two-seater Cybertruck,"An image of a Cybertruck-inspired Tesla robotaxi concept was revealed in the new Elon Musk biography by Walter Isaacson that launched Tuesday.  The two-door,...","An image of a Cybertruck-inspired Tesla robotaxi concept was revealed in the new Elon Musk biography by Walter Isaacson that launched Tuesday.
The two-door, two-seater, ""Cybertruck-like"" compact veh [+4724 chars]","Tesla robotaxi concept looks like a two-seater Cybertruck An image of a Cybertruck-inspired Tesla robotaxi concept was revealed in the new Elon Musk biography by Walter Isaacson that launched Tuesday.  The two-door,...",yes,yes,neutral
Fortune,Irina Ivanova,2023-09-12,Elon Musk sent a graphic mid-childbirth picture of Grimes to friends and family and was surprised when she got upset,"When Musk shared the photo with Grimes father and brothers, she said It was his Aspergers coming out in full.","Elon Musk, the worlds richest man and an avid proponent of having children, was so excited when his first child with the artist Grimes was born, he sent photos of the procedure to both their families [+3417 chars]","Elon Musk sent a graphic mid-childbirth picture of Grimes to friends and family and was surprised when she got upset When Musk shared the photo with Grimes father and brothers, she said It was his Aspergers coming out in full.",no,no,neutral
Business Insider,Kwan Wei Kevin Tan,2023-09-12,"Elon Musk's biographer says Musk has 'multiple' personalities  he can be 'brutal,' and also 'frightening and inspiring all at once'","""This is a person with multiple moods and modes and personalities, ranging from engineering mode to demon mode,"" said Walter Isaacson.","Elon Musk.Chesnot via Getty Images
<ul><li>Elon Musk's biographer says Musk ""is a person with multiple moods and modes and personalities.""</li><li>Walter Isaacson told The Atlantic that Musk's many  [+1825 chars]","Elon Musk's biographer says Musk has 'multiple' personalities  he can be 'brutal,' and also 'frightening and inspiring all at once' ""This is a person with multiple moods and modes and personalities, ranging from engineering mode to demon mode,"" said Walter Isaacson.",no,no,neutral
Fortune,Christiaan Hetzner,2023-09-12,Elon Musks supercomputer Dojo added $70 billion to Teslas market cap. So what exactly is it?,Elon Musk's Tesla share price has jumped the equivalent of BMW Group's value after Morgan Stanley released a report on the potential of the A.I. dojo supercomputer.,"Teslas gonzo market cap is so enormous that its daily swings in value often exceed the sum total of most major automakers. On slow days it might only be the equivalent of Volvo or [hotlink]Nissan,[/h [+3926 chars]",Elon Musks supercomputer Dojo added $70 billion to Teslas market cap. So what exactly is it? Elon Musk's Tesla share price has jumped the equivalent of BMW Group's value after Morgan Stanley released a report on the potential of the A.I. dojo supercomputer.,yes,yes,positive
The Jerusalem Post,By REUTERS,2023-09-12,Putin hails Elon Musk as an 'outstanding person' and businessman,The Russian leader said Moscow planned to persevere with its own space program despite the failure of a mission to the Moon last month.,"Russian President Vladimir Putin on Tuesday hailed South African-born businessman Elon Musk as an ""outstanding person"" and businessman whose SpaceX company had become a major player in the space tran [+1562 chars]",Putin hails Elon Musk as an 'outstanding person' and businessman The Russian leader said Moscow planned to persevere with its own space program despite the failure of a mission to the Moon last month.,no,no,neutral
Next Big Future,Brian Wang,2023-09-12,Bill Gates Tries to Profit by Driving Down Tesla Shares and is Confused by Elon Musk Anger,Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a market by increasing the volume of buying and selling above ,Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a  [+7361 chars],Bill Gates Tries to Profit by Driving Down Tesla Shares and is Confused by Elon Musk Anger Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a market by increasing the volume of buying and selling above ,yes,yes,negative
Fortune,Rachyl Jones,2023-09-12,"What do donkeys, dragons and Hawaii have in common? They all play a role in Elon Musk buying Twitter.","Musks purchase of Twitter fed his constant need to reach the next level, according to biographer.","Elon Musk lives for the drama. Thats evident in how he is running X, formerly known as Twitter. But before he challenged Mark Zuckerbeg to a cage fight, before he erected a glowing X on top of the co [+5076 chars]","What do donkeys, dragons and Hawaii have in common? They all play a role in Elon Musk buying Twitter. Musks purchase of Twitter fed his constant need to reach the next level, according to biographer.",no,no,neutral
Business Insider,"Grace Kay,Grace Dean",2023-09-12,"Elon Musk 'associates love with being mean or abusive,' Grimes told biographer Walter Isaacson","""When we hang out, I make sure I'm with the right Elon,"" Grimes told Elon Musk biographer Walter Isaacson. ""There are guys in that head who don't like me.""","Grimes told Walter Isaacson that Elon Musk ""associates love with being mean or abusive"" because of his father.Theo Wargo/Getty Images
<ul>
<li>Elon Musk ""associates love with being mean or abusive""  [+4780 chars]","Elon Musk 'associates love with being mean or abusive,' Grimes told biographer Walter Isaacson ""When we hang out, I make sure I'm with the right Elon,"" Grimes told Elon Musk biographer Walter Isaacson. ""There are guys in that head who don't like me.""",no,no,neutral
Breitbart News,"Allum Bokhari, Allum Bokhari",2023-09-13,Elon Musk: Left-Wing ADL Was 'Instrumental' In Blacklisting Donald Trump from Twitter,"Twitter/X owner Elon Musk, embroiled in an ongoing war of words with the far-left Anti-Defamation League (ADL), which has pushed for censorship of conservatives on all platforms, has said the organization was ""instrumental"" in getting Donald Trump blacklisted","Twitter/X owner Elon Musk, embroiled in an ongoing war of words with the far-left Anti-Defamation League (ADL), which has pushed for censorship of conservatives on all platforms, has said the organiz [+3028 chars]","Elon Musk: Left-Wing ADL Was 'Instrumental' In Blacklisting Donald Trump from Twitter Twitter/X owner Elon Musk, embroiled in an ongoing war of words with the far-left Anti-Defamation League (ADL), which has pushed for censorship of conservatives on all platforms, has said the organization was ""instrumental"" in getting Donald Trump blacklisted",no,no,neutral
The Verge,Casey Newton,2023-09-13,Nine wild details from the new Elon Musk biography,"Walter Isaacsons Elon Musk biography brings new tales of Jack Dorsey, that Sergey Brin selfie, Grimes, and Musks favorite mobile game.","Nine wild details from the new Elon Musk biography
Nine wild details from the new Elon Musk biography
 / Walter Isaacson brings new tales of Jack Dorsey, that Sergey Brin selfie, and more.
ByCasey [+10740 chars]","Nine wild details from the new Elon Musk biography Walter Isaacsons Elon Musk biography brings new tales of Jack Dorsey, that Sergey Brin selfie, Grimes, and Musks favorite mobile game.",no,,
The Verge,Umar Shakir,2023-09-13,"Tesla unveils Powerwall 3, this time with a built-in solar inverter",Teslas Powerwall 3 has a built-in solar inverter for easier home emergency and solar power installs and is coming in 2024.,"Tesla unveils Powerwall 3, this time with a built-in solar inverter
Tesla unveils Powerwall 3, this time with a built-in solar inverter
 / Teslas latest home battery backup solution, Powerwall 3, i [+2635 chars]","Tesla unveils Powerwall 3, this time with a built-in solar inverter Teslas Powerwall 3 has a built-in solar inverter for easier home emergency and solar power installs and is coming in 2024.",yes,,
News.com.au,Lexie Cartwright,2023-09-13,Elon Musk shares photo of Amber Heard,Elon Musk has shared a private photo he took of Amber Heard while they were dating.,"Elon Musk has shared a private photo he took of Amber Heard while they were dating.
The Tesla founders controversial new biography Elon Musk, which was released with a flurry of headline-making lin [+2886 chars]",Elon Musk shares photo of Amber Heard Elon Musk has shared a private photo he took of Amber Heard while they were dating.,yes,,
ABC News,BARBARA ORTUTAY AP technology writer,2023-09-13,US says Elon Musk should not be immune to testifying about the former Twitter,The U.S. government says the former Twitters request to end oversight of its data privacy and security practices is meritless and owner Elon Musk should not be immune to testifying about the company since he has first-hand knowledge of the conduct...,The U.S. government says the former Twitter's request to end oversight of its data privacy and security practices is meritless and owner Elon Musk should not be immune to testifying about the company [+3634 chars],US says Elon Musk should not be immune to testifying about the former Twitter The U.S. government says the former Twitters request to end oversight of its data privacy and security practices is meritless and owner Elon Musk should not be immune to testifying about the company since he has first-hand knowledge of the conduct...,no,,
Business Insider,"Pete Syme,Grace Dean",2023-09-13,"During stressful periods at work and in his personal life, Elon Musk would stay awake at night and vomit. He says working so hard has 'taken its toll.'","Elon Musk struggled with stomach issues during challenging periods in his career and relationships, Walter Isaacson wrote.","Elon Musk.Jim Watson/Getty Images
<ul><li>Walter Isaacson's biography ""Elon Musk"" reveals the billionaire's struggles with stress.</li><li>Musk's partners have described him staying up all night and [+3194 chars]","During stressful periods at work and in his personal life, Elon Musk would stay awake at night and vomit. He says working so hard has 'taken its toll.' Elon Musk struggled with stomach issues during challenging periods in his career and relationships, Walter Isaacson wrote.",no,,
Business Insider,Insider Inc.,2023-09-13,"Elon Musk, Mark Zuckerberg, Bill Gates and other tech names head to Washington for a closed-door meeting on policing AI","Some of the biggest tech leaders in the world, like Elon Musk and Mark Zuckerberg, gathered in Washington to discuss ways to potentially police AI.","Elon Musk, speaking outside the ""AI Insight Forum"" in Washington on Wednesday. He and other tech leaders were discussing artificial intelligence and possible government regulation.Photo by Nathan How [+3864 chars]","Elon Musk, Mark Zuckerberg, Bill Gates and other tech names head to Washington for a closed-door meeting on policing AI Some of the biggest tech leaders in the world, like Elon Musk and Mark Zuckerberg, gathered in Washington to discuss ways to potentially police AI.",no,yes,positive
Next Big Future,Brian Wang,2023-09-13,Making Sense of Tesla Semi Real World Ranges at 400-440 Miles,"There are real world range tests for Tesla Semi, Freightliner eCascadia and other electric Semi trucks at the Run for Less event. Truck average driving speed is critical to the comparison of the real world ranges. People who lived through the 1970s and 1980s ","There are real world range tests for Tesla Semi, Freightliner eCascadia and other electric Semi trucks at the Run for Less event. Truck average driving speed is critical to the comparison of the real [+2578 chars]","Making Sense of Tesla Semi Real World Ranges at 400-440 Miles There are real world range tests for Tesla Semi, Freightliner eCascadia and other electric Semi trucks at the Run for Less event. Truck average driving speed is critical to the comparison of the real world ranges. People who lived through the 1970s and 1980s ",yes,,
BBC News,,2023-09-13,"'Overwhelming consensus' to regulate AI, says Elon Musk",The Tesla CEO was among the top tech leaders meeting with US lawmakers to discuss AI governance,"Top tech leaders, including Elon Musk, Mark Zuckerberg, Sundar Pichai and Bill Gates, met US lawmakers on Wednesday to discuss AI governance.
'This meeting may go down in history as being very impor [+47 chars]","'Overwhelming consensus' to regulate AI, says Elon Musk The Tesla CEO was among the top tech leaders meeting with US lawmakers to discuss AI governance",yes,,
Next Big Future,Brian Wang,2023-09-13,Tesla Semi Crushing Freightliner eCascadia and BYD Semi in Real World Range Tests,The Run on Less Event is testing electric semi trucks with real world deliveries to test their range and payload performance. Tesla is getting up to double the range of many of these competing trucks. Pepsi Tesla semi trucks are getting 370 to 420 miles of ra,The Run on Less Event is testing electric semi trucks with real world deliveries to test their range and payload performance. Tesla is getting up to double the range of many of these competing trucks [+1691 chars],Tesla Semi Crushing Freightliner eCascadia and BYD Semi in Real World Range Tests The Run on Less Event is testing electric semi trucks with real world deliveries to test their range and payload performance. Tesla is getting up to double the range of many of these competing trucks. Pepsi Tesla semi trucks are getting 370 to 420 miles of ra,yes,,
Business Insider,Brent D. Griffiths,2023-09-13,Elon Musk told biographer that Trump is 'the world champion of bullshit',"According to Walter Isaacson's biography, Musk approached Trump's election with cautious optimism that later vanished in the face of ""buffoonery.""","Tesla CEO Elon MuskChesnot/Getty Images
<ul>
<li>Elon Musk told his biographer that he's ""not Trump's fan.""</li>
<li>Musk, according to Walter Isaacson's new book, also called the former president "" [+1974 chars]","Elon Musk told biographer that Trump is 'the world champion of bullshit' According to Walter Isaacson's biography, Musk approached Trump's election with cautious optimism that later vanished in the face of ""buffoonery.""",no,no,neutral
Politico,Steven Overly,2023-09-13,"Its time to regulate AI like cars and drugs, top Microsoft exec says","Microsoft President Brad Smith will join other tech leaders, including Elon Musk, Mark Zuckerberg and Sam Altman, at an artificial intelligence forum today hosted by Senate Majority Leader Chuck Schumer.","With Congress in a flurry of hearings on AI this week, Smith is among the tech leaders expected at a closed-door session with Senate Majority Leader Chuck Schumer on Wednesday, along with Elon Musk o [+3468 chars]","Its time to regulate AI like cars and drugs, top Microsoft exec says Microsoft President Brad Smith will join other tech leaders, including Elon Musk, Mark Zuckerberg and Sam Altman, at an artificial intelligence forum today hosted by Senate Majority Leader Chuck Schumer.",no,yes,positive
Fortune,Paolo Confino,2023-09-13,"During the most concentrated pain in his life, Elon Musk saved Tesla and created 'the algorithm' that would become his manufacturing and management philosophy","Elon Musk developed ""the algorithm"" while trying to save Tesla from financial ruin and facing the darkest moment of his personal life, new biography says.","One of Elon Musks biggest accomplishments happened during what he refers to as the darkest, most difficult time in his life. In July 2017, Tesla had just introduced its Model 3 sedan, a more moderate [+7534 chars]","During the most concentrated pain in his life, Elon Musk saved Tesla and created 'the algorithm' that would become his manufacturing and management philosophy Elon Musk developed ""the algorithm"" while trying to save Tesla from financial ruin and facing the darkest moment of his personal life, new biography says.",yes,yes,positive
Business Insider,Charles R. Davis,2023-09-13,Elon Musk's control of Starlink gives him unchecked power over elected governments,There is a growing consensus that one unelected man should not decide what is or is not a legitimate military target.,"Chesnot/Getty Images
<ul>
<li>Elon Musk's control over Starlink is in the spotlight after he thwarted a Ukrainian attack.</li>
<li>Musk says he vetoed a 2022 strike on Russia's Black Sea Fleet over  [+7893 chars]",Elon Musk's control of Starlink gives him unchecked power over elected governments There is a growing consensus that one unelected man should not decide what is or is not a legitimate military target.,no,no,negative
Next Big Future,Brian Wang,2023-09-13,Billionaire Insider Ron Baron Reveals Tesla Secrets and Teslas Future,"Ron Baron is worth over $5 billion, manages about $45 billion in his stock funds and he and his funds are a top 20 owner in Tesla. He has picked multiple big winners in Tesla, SpaceX, Gartner, Arch and CoStar Group. As a big and early Tesla investor, Ron freq","Ron Baron is worth over $5 billion, manages about $45 billion in his stock funds and he and his funds are a top 20 owner in Tesla. He has picked multiple big winners in Tesla, SpaceX, Gartner, Arch a [+2453 chars]","Billionaire Insider Ron Baron Reveals Tesla Secrets and Teslas Future Ron Baron is worth over $5 billion, manages about $45 billion in his stock funds and he and his funds are a top 20 owner in Tesla. He has picked multiple big winners in Tesla, SpaceX, Gartner, Arch and CoStar Group. As a big and early Tesla investor, Ron freq",yes,,
Business Insider,Tim Levin,2023-09-13,"Mercedes-Benz's $100,000 electric SUV is an awesome Tesla rival  but its blob-like looks aren't for everyone",The Mercedes EQE SUV is an awesome alternative to Tesla's Model X with controversial style.,"The 2023 Mercedes-Benz EQE SUV brings a luxurious interior and awe-inspiring driving tech. Tim Levin/Insider
<ul><li>I drove Mercedes-Benz's new electric SUV: the EQE SUV. </li><li>It costs $77,900  [+5110 chars]","Mercedes-Benz's $100,000 electric SUV is an awesome Tesla rival  but its blob-like looks aren't for everyone The Mercedes EQE SUV is an awesome alternative to Tesla's Model X with controversial style.",yes,yes,neutral
The Washington Post,Cat Zakrzewski,2023-09-13,"Senate AI hearing draws Google, Meta and other tech executives","Xs Elon Musk, Metas Mark Zuckerberg, Googles Sundar Pichai and OpenAIs Sam Altman were among the tech leaders on Capitol Hill discussing AI regulation.","Comment on this story
Comment
Some of the most powerful tech leaders in the world including Tesla CEO Elon Musk and Meta CEO Mark Zuckerberg traveled to Capitol Hill for a meeting on artificial int [+10166 chars]","Senate AI hearing draws Google, Meta and other tech executives Xs Elon Musk, Metas Mark Zuckerberg, Googles Sundar Pichai and OpenAIs Sam Altman were among the tech leaders on Capitol Hill discussing AI regulation.",no,yes,positive
Fortune,Chloe Berger,2023-09-13,"How Musk and Bezos first met, with an insulted Elon inviting himself to tour Blue Origin","The two billionaire CEOs rubbed each other the wrong way upon meeting, according to new biography about Elon Musk.","Billionaire CEOs are like betta fish. Put them in the same tank and they might get territorial (or write passive-aggressive tweets). At least, that seems to be the case for Elon Musk and Jeff Bezos,  [+4327 chars]","How Musk and Bezos first met, with an insulted Elon inviting himself to tour Blue Origin The two billionaire CEOs rubbed each other the wrong way upon meeting, according to new biography about Elon Musk.",no,no,neutral
The Times of India,Bloomberg,2023-09-13,Tesla got an $80 billion boost from analyst call. Not everyone buys it,"Meanwhile, Tesla is still working on developing a software that will make its cars truly self-driving, though experts and analysts see a broad adoption of fully autonomous cars as still years, if not decades, away. Jonas had lowered his estimate for Tesla Mob","This may sound familiar: Morgan Stanley analyst Adam Jonas makes an extraordinarily bullish call on the future of Tesla Inc. and the shares go on a wild binge.It happened in 2015, and its happening a [+3906 chars]","Tesla got an $80 billion boost from analyst call. Not everyone buys it Meanwhile, Tesla is still working on developing a software that will make its cars truly self-driving, though experts and analysts see a broad adoption of fully autonomous cars as still years, if not decades, away. Jonas had lowered his estimate for Tesla Mob",yes,yes,negative
Business Insider,Phil Rosen,2023-09-13,Tesla is the most shorted stock in the market - and investors have bet against it more than any other name for 3 straight months,"Elon Musk's EV maker topped the list of most shorted US large-cap stocks for a third consecutive month in August, a new report showed.","Tesla CEO Elon Musk.Yichuan Cao/NurPhoto via Getty Images
<ul>
<li>Tesla was the most shorted US large-cap stock for the third consecutive month in August, securities firm Hazeltree said.</li>
<li>C [+1781 chars]","Tesla is the most shorted stock in the market - and investors have bet against it more than any other name for 3 straight months Elon Musk's EV maker topped the list of most shorted US large-cap stocks for a third consecutive month in August, a new report showed.",yes,yes,positive
Fortune,"Anna Edgerton, Bloomberg",2023-09-13,Elon Musk tells senators AI is a double-edged sword that can do goodbut also destroy civilization,"Musk, the CEO Tesla, told senators they shouldnt be worried about self-driving cars, but instead should focus their concerns on what he called deeper AI.","Elon Musk called artificial intelligence a double-edged sword, telling US senators Wednesday that the technology can be a tremendous source for good but warning about risks to civilization, according [+1029 chars]","Elon Musk tells senators AI is a double-edged sword that can do goodbut also destroy civilization Musk, the CEO Tesla, told senators they shouldnt be worried about self-driving cars, but instead should focus their concerns on what he called deeper AI.",yes,yes,positive
TechCrunch,Jagmeet Singh,2023-09-13,"Tesla plans to almost double component sourcing from India to $1.9B this year, says minister | TechCrunch","Tesla is planning to nearly double its component sourcing from India to up to $1.9 billion this year, the nations trade minister has said, underscoring Tesla is planning to nearly double its component sourcing from India to up to $1.9 billion this year, the ","Tesla is planning to nearly double its component sourcing from India to up to $1.9 billion this year, the nations trade minister has said, underscoring the growth of electric-vehicle component manufa [+2512 chars]","Tesla plans to almost double component sourcing from India to $1.9B this year, says minister | TechCrunch Tesla is planning to nearly double its component sourcing from India to up to $1.9 billion this year, the nations trade minister has said, underscoring Tesla is planning to nearly double its component sourcing from India to up to $1.9 billion this year, the ",yes,yes,positive
Business Insider,Lakshmi Varanasi,2023-09-13,Elon Musk's ex-wife told his biographer that deep inside the Tesla CEO 'is this manchild still standing in front of his father',"On an episode of Lex Fridman's podcast, Elon Musk's biographer talked about Musk's relationship to his father and its impact on Musk's personality.","Elon Musk's ex-wife, actress Talulah Riley, said that deep inside, Elon Musk is a ""manchild"" still standing in front of his father, according to Musk's biographer Walter Isaacson.Evan Agostini/AP Ima [+3317 chars]","Elon Musk's ex-wife told his biographer that deep inside the Tesla CEO 'is this manchild still standing in front of his father' On an episode of Lex Fridman's podcast, Elon Musk's biographer talked about Musk's relationship to his father and its impact on Musk's personality.",yes,no,neutral
BBC News,https://www.facebook.com/bbcnews,2023-09-13,'Overwhelming consensus' on AI regulation - Musk,Tech heavyweights gathered in Washington DC to discuss the regulation of artificial intelligence.,"Media caption, Watch: 'Overwhelming consensus' to regulate AI, says Elon Musk
Tesla CEO Elon Musk says there was ""overwhelming consensus"" for regulation on artificial intelligence after tech heavywe [+2487 chars]",'Overwhelming consensus' on AI regulation - Musk Tech heavyweights gathered in Washington DC to discuss the regulation of artificial intelligence.,no,yes,positive
Business Insider,"Polly Thompson,Grace Dean",2023-09-13,"Elon Musk once caught malaria on safari and was 'hours from death,' book says",Walter Isaacson's new biography of Elon Musk gives more insight into why the Tesla and SpaceX billionaire seems to dislike taking time off.,"Elon Musk did take some time off in July 2022 when he visited the Greek island of Mykonos.MEGA/GC/Getty Images
<ul><li>Walter Isaacson's biography of Elon Musk shines new light on the world's riches [+4228 chars]","Elon Musk once caught malaria on safari and was 'hours from death,' book says Walter Isaacson's new biography of Elon Musk gives more insight into why the Tesla and SpaceX billionaire seems to dislike taking time off.",yes,no,neutral
